# ----------------------------------------
# All Web Site Data
# Content Drilldown
# 20150101-20230701
# ----------------------------------------

Page path level 1,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/php/,"42,792","33,114",00:02:10,58.69%,44.79%
/synapse_probabilities/,"5,555","1,767",00:01:41,4.03%,7.60%
/,"3,918","2,028",00:00:29,15.63%,51.76%
/php_v2/,"3,153","1,565",00:01:45,14.57%,14.94%
/bot-traffic.xyz,"2,024","2,022",00:00:00,99.90%,99.90%
/devur3/,"1,356",582,00:01:41,30.23%,16.96%
/devur2/,"1,304",721,00:01:33,29.81%,23.93%
/synaptome/,759,135,00:01:40,10.64%,6.06%
/php_v2_dev/,574,191,00:01:56,22.58%,10.63%
/hippocampome/,558,261,00:02:32,20.79%,31.72%
/devur5/,159,85,00:01:32,21.88%,38.99%
/synaptic_probabilities/,126,36,00:01:36,16.67%,4.76%
/php_v2_bak_20221117/,114,88,00:02:29,26.19%,39.47%
/php_bak_20221004/,90,82,00:01:24,52.94%,44.44%
/phpmain/,81,20,00:02:09,0.00%,13.58%
/devur4/,30,22,00:01:34,40.00%,16.67%
/phpdev/,16,12,00:01:07,0.00%,18.75%
/php_test/,3,2,00:00:24,50.00%,66.67%
/proxy_u/,3,3,00:00:00,100.00%,100.00%
/devur2_backup/,2,2,00:00:04,0.00%,50.00%
/csv2db/,1,1,00:00:00,0.00%,100.00%
/hipp Better than reCAPTCHA：vaptcha.cn,1,1,00:00:00,100.00%,100.00%
/Hippocampome/,1,1,00:00:00,0.00%,100.00%
/phprev/,1,1,00:00:00,0.00%,100.00%
,"62,621","42,742",00:01:57,55.57%,40.11%

Day Index,Pageviews
1/1/15,0
1/2/15,0
1/3/15,0
1/4/15,0
1/5/15,0
1/6/15,0
1/7/15,0
1/8/15,0
1/9/15,0
1/10/15,0
1/11/15,0
1/12/15,0
1/13/15,0
1/14/15,0
1/15/15,0
1/16/15,0
1/17/15,0
1/18/15,0
1/19/15,0
1/20/15,0
1/21/15,0
1/22/15,0
1/23/15,0
1/24/15,0
1/25/15,0
1/26/15,0
1/27/15,0
1/28/15,0
1/29/15,0
1/30/15,0
1/31/15,0
2/1/15,0
2/2/15,0
2/3/15,0
2/4/15,0
2/5/15,0
2/6/15,0
2/7/15,0
2/8/15,0
2/9/15,0
2/10/15,0
2/11/15,0
2/12/15,0
2/13/15,0
2/14/15,0
2/15/15,0
2/16/15,0
2/17/15,0
2/18/15,0
2/19/15,0
2/20/15,0
2/21/15,0
2/22/15,0
2/23/15,0
2/24/15,0
2/25/15,0
2/26/15,0
2/27/15,0
2/28/15,0
3/1/15,0
3/2/15,0
3/3/15,0
3/4/15,0
3/5/15,0
3/6/15,0
3/7/15,0
3/8/15,0
3/9/15,0
3/10/15,0
3/11/15,0
3/12/15,0
3/13/15,0
3/14/15,0
3/15/15,0
3/16/15,0
3/17/15,0
3/18/15,0
3/19/15,0
3/20/15,0
3/21/15,0
3/22/15,0
3/23/15,0
3/24/15,0
3/25/15,0
3/26/15,0
3/27/15,0
3/28/15,0
3/29/15,0
3/30/15,0
3/31/15,0
4/1/15,0
4/2/15,0
4/3/15,0
4/4/15,0
4/5/15,0
4/6/15,0
4/7/15,0
4/8/15,0
4/9/15,0
4/10/15,0
4/11/15,0
4/12/15,0
4/13/15,0
4/14/15,0
4/15/15,0
