# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/index.php,"11,794","20,487",57.57%
/php/morphology.php,"2,503","6,469",38.69%
/,"2,028","3,918",51.76%
/bot-traffic.xyz,"2,022","2,024",99.90%
/php/morphology.php?refreshed=,520,814,63.88%
/php/firing_patterns.php,444,"1,245",35.66%
/php/synaptome.php,304,796,38.19%
/php/,260,650,40.00%
/devur2/index.php,185,742,24.93%
/synapse_probabilities/php/index.php,184,819,22.47%
/php_v2/index.php,158,"1,409",11.21%
/php/synaptome_modeling.php,152,622,24.44%
/php/firing_patterns.php?refreshed=,142,196,72.45%
/devur3/index.php,135,893,15.12%
/php_v2/morphology.php,132,327,40.37%
/php/property_page_morphology.php,129,585,22.05%
/php/synapse_probabilities_dal.php,107,618,17.31%
/php/synapse_probabilities_sypr.php,104,282,36.88%
/php/property_page_connectivity.php,95,385,24.68%
/php/property_page_phases.php,91,810,11.23%
/php/Help_FAQ.php,88,262,33.59%
/php/Help_Quickstart.php,74,282,26.24%
/php/property_page_fp.php,68,266,25.56%
/php/smtools.php,65,248,26.21%
/devur2/property_page_phases.php,58,182,31.87%
/devur5/index.php,55,125,44.00%
/php/Help_Search_Engine.php,54,127,42.52%
/php/index.php?fbclid=IwAR1vi2T0RS7ggzsuEkWo7vp-fbYkAN8Mco8tinBXnccwc7hP4pVAey9GAMk,48,57,84.21%
/hippocampome/php_v2/index.php,37,115,32.17%
/devur3/property_page_phases.php,36,85,42.35%
/php_v2_bak_20221117/index.php,36,66,54.55%
/hippocampome/php/index.php,34,80,42.50%
/php/Help_Principles_of_Classification_of_Firing_Pattern_Elements.php,34,64,53.12%
/php/synapse_probabilities_sypr.php?refreshed=,33,43,76.74%
/php/Help_Other_Useful_Links.php,32,97,32.99%
/hippocampome/php_V2/index.php,30,155,19.35%
/synapse_probabilities/php/property_page_synpro_nm.php,30,454,6.61%
/php/synaptome_modeling.php?refreshed=,29,56,51.79%
/synapse_probabilities/php/property_page_synpro.php,29,565,5.13%
