# ----------------------------------------
# All Web Site Data
# Landing Pages
# 20150101-20230701
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/php/index.php,"15,658",68.25%,"10,686",61.31%,2.12,00:02:23,0.00%,0,$0.00
/,"2,028",80.23%,"1,627",15.63%,1.93,00:00:27,0.00%,0,$0.00
/bot-traffic.xyz,"2,022",52.92%,"1,070",99.90%,1.00,00:00:00,0.00%,0,$0.00
/php/morphology.php,"1,027",26.29%,270,35.83%,2.53,00:03:05,0.00%,0,$0.00
/php/,441,40.14%,177,47.85%,2.90,00:04:08,0.00%,0,$0.00
/synapse_probabilities/php/index.php,378,6.35%,24,3.70%,12.45,00:18:16,0.00%,0,$0.00
/php/morphology.php?refreshed=,265,13.58%,36,61.13%,1.79,00:02:06,0.00%,0,$0.00
/devur2/index.php,262,25.57%,67,30.15%,3.90,00:04:22,0.00%,0,$0.00
/php/firing_patterns.php,205,26.34%,54,33.17%,2.75,00:03:17,0.00%,0,$0.00
/php_v2/index.php,200,5.50%,11,13.50%,6.54,00:09:15,0.00%,0,$0.00
/devur3/index.php,190,29.47%,56,33.16%,5.77,00:07:07,0.00%,0,$0.00
/php_v2/,147,10.20%,15,6.12%,6.72,00:10:09,0.00%,0,$0.00
/php/synaptome.php,104,35.58%,37,60.58%,2.38,00:02:45,0.00%,0,$0.00
/php/firing_patterns.php?refreshed=,96,5.21%,5,80.21%,1.47,00:00:37,0.00%,0,$0.00
/php/synaptome_modeling.php,74,13.51%,10,25.68%,3.69,00:08:16,0.00%,0,$0.00
/php/synapse_probabilities_dal.php,67,19.40%,13,19.40%,4.67,00:08:19,0.00%,0,$0.00
/devur5/index.php,53,11.32%,6,20.75%,2.51,00:02:13,0.00%,0,$0.00
/php/index.php?fbclid=IwAR1vi2T0RS7ggzsuEkWo7vp-fbYkAN8Mco8tinBXnccwc7hP4pVAey9GAMk,49,59.18%,29,85.71%,1.20,00:00:23,0.00%,0,$0.00
/php/synapse_probabilities_sypr.php,49,10.20%,5,42.86%,2.31,00:04:31,0.00%,0,$0.00
/hippocampome/php_v2/index.php,41,4.88%,2,2.44%,2.85,00:02:44,0.00%,0,$0.00
/hippocampome/php_V2/index.php,41,12.20%,5,7.32%,4.29,00:11:01,0.00%,0,$0.00
/hippocampome/,40,25.00%,10,47.50%,1.85,00:03:22,0.00%,0,$0.00
/synaptome/php/index.php,30,3.33%,1,6.67%,16.27,00:23:06,0.00%,0,$0.00
/php/Help_Search_Engine.php,26,30.77%,8,46.15%,3.15,00:05:58,0.00%,0,$0.00
/php_bak_20221004/,25,48.00%,12,52.00%,2.12,00:01:26,0.00%,0,$0.00
