# ----------------------------------------
# All Web Site Data
# Pages
# 20150101-20230701
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/php/index.php,"20,487","16,329",00:02:14,"15,658",61.31%,57.57%,$0.00
/php/morphology.php,"6,469","4,713",00:02:10,"1,027",35.83%,38.69%,$0.00
/,"3,918","2,028",00:00:29,"2,028",15.63%,51.76%,$0.00
/bot-traffic.xyz,"2,024","2,022",00:00:00,"2,022",99.90%,99.90%,$0.00
/php_v2/index.php,"1,409",446,00:01:19,200,13.50%,11.21%,$0.00
/php/firing_patterns.php,"1,245","1,122",00:02:26,205,33.17%,35.66%,$0.00
/devur3/index.php,893,263,00:01:14,190,33.16%,15.12%,$0.00
/synapse_probabilities/php/index.php,819,393,00:00:24,378,3.70%,22.47%,$0.00
/php/morphology.php?refreshed=,814,749,00:03:01,265,61.13%,63.88%,$0.00
/php/property_page_phases.php,810,150,00:02:55,15,26.67%,11.23%,$0.00
/php/synaptome.php,796,681,00:01:54,104,60.58%,38.19%,$0.00
/devur2/index.php,742,323,00:01:06,262,30.15%,24.93%,$0.00
/php/,650,513,00:01:48,441,47.85%,40.00%,$0.00
/php/synaptome_modeling.php,622,347,00:02:34,74,25.68%,24.44%,$0.00
/php/synapse_probabilities_dal.php,618,491,00:01:30,67,19.40%,17.31%,$0.00
/php/property_page_morphology.php,585,296,00:01:37,16,56.25%,22.05%,$0.00
/synapse_probabilities/php/property_page_synpro.php,565,106,00:01:57,2,0.00%,5.13%,$0.00
/synapse_probabilities/php/synapse_probabilities_dal.php,470,186,00:01:10,3,33.33%,5.74%,$0.00
/synapse_probabilities/php/synapse_probabilities_ps.php,470,93,00:01:58,4,25.00%,3.40%,$0.00
/synapse_probabilities/php/property_page_synpro_nm.php,454,67,00:03:09,2,0.00%,6.61%,$0.00
/synapse_probabilities/php/synapse_probabilities_noc.php,426,78,00:01:30,4,25.00%,3.05%,$0.00
/synaptome/php/synaptome_modeling.php,419,51,00:01:50,11,18.18%,6.68%,$0.00
/php/property_page_connectivity.php,385,199,00:02:19,11,45.45%,24.68%,$0.00
/php_v2/,333,209,00:00:31,147,6.12%,3.90%,$0.00
/php_v2/morphology.php,327,212,00:05:21,25,64.00%,40.37%,$0.00
/synapse_probabilities/php/synapse_probabilities.php,306,33,00:02:41,8,0.00%,8.82%,$0.00
/php/Help_Quickstart.php,282,228,00:02:06,18,44.44%,26.24%,$0.00
/php/synapse_probabilities_sypr.php,282,240,00:02:27,49,42.86%,36.88%,$0.00
/php/property_page_fp.php,266,175,00:01:52,2,50.00%,25.56%,$0.00
/php/Help_FAQ.php,262,212,00:01:34,23,43.48%,33.59%,$0.00
/php/smtools.php,248,173,00:01:35,21,47.62%,26.21%,$0.00
/synapse_probabilities/php/synapse_probabilities_sd.php,230,63,00:02:22,2,0.00%,6.09%,$0.00
/php/firing_patterns.php?refreshed=,196,184,00:01:53,96,80.21%,72.45%,$0.00
/devur2/property_page_phases.php,182,104,00:03:46,1,100.00%,31.87%,$0.00
/php_v2_dev/property_page_synpro.php,166,16,00:01:31,7,0.00%,6.02%,$0.00
/hippocampome/php_V2/index.php,155,43,00:03:30,41,7.32%,19.35%,$0.00
/synapse_probabilities/php/property_page_synpro_nm.php?id_neuron_source=1000&id_neuron_target=1041&color=violetSoma&page=1,140,5,00:01:11,1,0.00%,1.43%,$0.00
/php/property_page_phases.php?id_neuron=2000,138,41,00:01:59,5,20.00%,11.59%,$0.00
/php/synapse_probabilities_ps.php,133,97,00:01:54,5,40.00%,15.04%,$0.00
/php_v2/synaptome_modeling.php,130,35,00:01:42,3,33.33%,15.38%,$0.00
/php/Help_Search_Engine.php,127,93,00:03:35,26,46.15%,42.52%,$0.00
/devur5/index.php,125,67,00:01:50,53,20.75%,44.00%,$0.00
/hippocampome/php_v2/index.php,115,48,00:01:40,41,2.44%,32.17%,$0.00
/devur3/morphology.php,113,47,00:03:55,4,25.00%,18.58%,$0.00
/php/synapse_probabilities_noc.php,110,85,00:02:00,5,20.00%,17.27%,$0.00
/php_v2/synapse_probabilities_dal.php,99,76,00:00:52,10,20.00%,10.10%,$0.00
/php/Help_Other_Useful_Links.php,97,82,00:01:03,6,50.00%,32.99%,$0.00
/php/property_page_phases.php?id_neuron=1000&val_property=theta,87,24,00:01:33,2,50.00%,6.90%,$0.00
/synapse_probabilities/php/property_page_synpro.php?id_neuron=1000&val_property=DG_H&color=red&page=1&sp_page=dal,87,19,00:01:44,0,0.00%,1.15%,$0.00
/devur3/property_page_phases.php,85,67,00:03:51,1,0.00%,42.35%,$0.00
/php/property_page_counts.php,83,14,00:01:01,0,0.00%,4.82%,$0.00
/hippocampome/php/index.php,80,40,00:02:23,24,4.17%,42.50%,$0.00
/synaptome/php/synaptome_modeling.php?value_selection=g,79,2,00:00:56,0,0.00%,0.00%,$0.00
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SMo&color=blue&page=1,71,67,00:02:31,4,75.00%,26.76%,$0.00
