Neuron_Type,Unique_ID,Supertype_ID,ModelDB_Accession,PMID
MEC LII Stellate,6003,S060617,237326,28628104
MEC LII Stellate,6003,S060617,150031,23312522
"""EC cells""",0,,222321,27802792
"""EC grid cells""",0,S060617,231392,28768062
"""EC grid cells""",0,S060617,150846,24577877
MEC LII Stellate,6003,S060617,218085,24695724
"""EC grid cells / LII Pyramidal""",0,S060617,218085,24695724
MEC LII Stellate,6003,S060617,150239,23396102
"""EC grid cells""",0,S060617,182685,26247860
MEC LII Stellate,6003,S060617,138951,21697391
"""EC grid cells""",0,S060617,183017,26146940
"""EC wide dynamic range neuron""",0,,183718,26609160
"""EC LII interneurons""",0,,119159,18297384
MEC LII Stellate,6003,S060617,222359,27893726
"""EC pyramidal neurons""",0,,222359,27893726
"""EC fast-spiking inetrneuron""",0,,222359,27893726
DG Granule,1000,S010101,124513,15342722
DG Granule,1000,S010101,124513,17093119
DG Granule,1000,S010101,124513,18375756
DG Granule,1000,S010101,124513,17765743
DG Mossy,1002,S020102,124513,15342722
DG Mossy,1002,S020102,124513,17093119
DG Mossy,1002,S020102,124513,18375756
DG Mossy,1002,S020102,124513,17765743
DG Basket,1035,S110107,124513,15342722
DG Basket,1035,S110107,124513,17093119
DG Basket,1035,S110107,124513,18375756
DG Basket,1035,S110107,124513,17765743
"""DG hilar cell""",0,,124513,15342722
"""DG hilar cell""",0,,124513,17093119
"""DG hilar cell""",0,,124513,18375756
"""DG hilar cell""",0,,124513,17765743
DG Granule,1000,S010101,124291,19815518
DG MOPP,1008,S100106,124291,19815518
DG Granule,1000,S010101,116740,10406134
DG Granule,1000,S010101,206372,27784124
DG Basket,1035,S110107,206372,27784124
DG Mossy,1002,S020102,206372,27784124
DG HIPP,1013,S120110,206372,27784124
DG Granule,1000,S010101,51781,15342722
DG Mossy,1002,S020102,51781,15342722
DG Basket,1035,S110107,51781,15342722
DG HIPP,1013,S120110,51781,15342722
DG Granule,1000,S010101,155568,24811867
DG Granule,1000,S010101,155568,22811762
DG Mossy,1002,S020102,155568,24811867
DG Mossy,1002,S020102,155568,22811762
DG Basket,1035,S110107,155568,24811867
DG Basket,1035,S110107,155568,22811762
DG HIPP,1013,S120110,155568,24811867
DG HIPP,1013,S120110,155568,22811762
DG Granule,1000,S010101,185355,25269417
DG Mossy,1002,S020102,185355,25269417
DG Basket,1035,S110107,185355,25269417
DG HIPP,1013,S120110,185355,25269417
DG MOPP,1008,S100106,185355,25269417
DG Basket,1035,S110107,140789,20080772
DG Granule,1000,S010101,229750,28970502
DG Basket,1035,S110107,229750,28970502
DG Granule,1000,S010101,181032,25902928
DG Granule,1000,S010101,231818,29165247
DG Granule,1000,S010101,206397,28132825
DG Basket,1035,S110107,206397,28132825
DG Mossy,1002,S020102,206397,28132825
DG HIPP,1013,S120110,206397,28132825
DG Granule,1000,S010101,231862,29165247
DG Granule,1000,S010101,235052,29357445
MEC LII Stellate,6003,S060617,237326,28628104
MEC LII Stellate,6003,S060617,150031,23312522
"""EC cells""",0,,222321,27802792
"""EC grid cells""",0,S060617,231392,28768062
"""EC grid cells""",0,S060617,150846,24577877
MEC LII Stellate,6003,S060617,218085,24695724
"""EC grid cells / LII Pyramidal""",0,S060617,218085,24695724
MEC LII Stellate,6003,S060617,150239,23396102
"""EC grid cells""",0,S060617,182685,26247860
MEC LII Stellate,6003,S060617,138951,21697391
"""EC grid cells""",0,S060617,183017,26146940
"""EC wide dynamic range neuron""",0,,183718,26609160
"""EC LII interneurons""",0,,119159,18297384
MEC LII Stellate,6003,S060617,222359,27893726
"""EC pyramidal neurons""",0,,222359,27893726
"""EC fast-spiking inetrneuron""",0,,222359,27893726
DG Granule,1000,S010101,124513,15342722
DG Granule,1000,S010101,124513,17093119
