source_id,target_id,CP_mean_total,CP_stdev_total,parcel_count
1000,1002,0.007770706,0.007530745,1
1000,1004,0.00421952,0.006095945,1
1000,1005,0.00435759,0.006611719,1
1000,1006,0.003073741,0.005530229,1
1000,1009,0.003335368,0.005236828,1
1000,1010,0.003907185,0.00619466,1
1000,1013,0.005945744,0.007734177,1
1000,1026,0.005372059,0.007447034,1
1000,1027,0.005330966,0.008497874,1
1000,1035,0.003459959,0.005900116,1
1000,1036,0.005224638,0.007917385,1
1000,1041,0.005576141,0.005767695,1
1000,1043,0.007931002,0.007572832,1
1000,2000,0.001014409,0.000943515,2
1000,2004,0.001611852,0.00103187,2
1000,2005,0.000391046,N/A,1
1000,2013,0.000744832,0.000716501,1
1000,2014,0.00097641,0.002760345,1
1000,2019,0.001223062,0.000390056,1
1000,2028,0.001841593,0.001117026,2
1000,2035,0.001902438,0.000368974,2
1000,2036,0.00118171,0.001945165,2
1000,2043,0.001723788,0.00092462,2
1000,2044,0.000796857,0.0004958,2
1000,2045,0.001975378,0.00120807,2
1000,2046,0.001044899,0.000951579,2
1000,2049,0.00093795,0.000874525,2
1001,1000,0.000246349,0.000268777,1
1001,1001,0.000279013,0.000387377,1
1001,1002,0.005809991,0.005082448,1
1001,1004,0.002667523,0.005552098,2
1001,1005,0.00459944,0.017807555,2
1001,1006,0.00378998,0.01529771,3
1001,1009,0.004226806,0.02452555,3
1001,1010,0.004204143,0.017218391,3
1001,1013,0.003701581,0.006108893,1
1001,1026,0.007157419,0.020853373,3
1001,1027,0.005796295,0.023761135,3
1001,1035,0.003812228,0.01709935,3
1001,1036,0.005015191,0.019025309,3
1001,1040,0.001664789,0.004285471,2
1001,1041,0.005599003,0.005430484,2
1001,1043,0.008756836,0.024656364,3
1001,2000,0.000119427,N/A,1
1001,2004,0.000206746,N/A,1
1001,2005,0.000107492,N/A,1
1001,2013,0.000414323,0.000742694,1
1001,2014,0.000598905,0.002359152,1
1001,2019,0.000610948,0.000329205,1
1001,2028,0.000463648,N/A,1
1001,2035,0.000208682,N/A,1
1001,2036,0.000181212,0.000382111,1
1001,2043,0.000322156,N/A,1
1001,2044,0.000108529,N/A,1
1001,2045,0.000594661,N/A,1
1001,2046,0.000114202,5.95549E-05,1
1001,2049,0.000122833,N/A,1
1002,1000,0.002373908,0.001847364,1
1002,1001,0.002165967,0.001954534,1
1002,1002,0.012170242,0.006181239,1
1002,1004,0.011572757,0.011365755,2
1002,1005,0.013446563,0.017888361,2
1002,1006,0.009369214,0.01251525,2
1002,1009,0.011106617,0.012765468,2
1002,1010,0.013246151,0.013216941,2
1002,1013,0.009927697,0.006287667,1
1002,1026,0.015241781,0.015131914,2
1002,1027,0.013780027,0.016634587,2
1002,1035,0.01174212,0.013604041,2
1002,1036,0.016464243,0.016321405,2
1002,1040,0.001490513,0.001121827,1
1002,1041,0.016290931,0.014878648,2
1002,1043,0.017439014,0.015685469,2
1004,1000,0.004664759,0.004051045,2
1004,1001,0.004957028,0.004486273,2
1004,1002,0.005693639,0.002043355,1
1004,1004,0.006405827,N/A,3
1004,1005,0.010207142,0.030095716,3
1004,1006,0.005773383,0.008473878,3
1004,1007,0.001329677,N/A,1
1004,1008,0.001603589,0.001555812,1
1004,1009,0.006768558,0.009403883,3
1004,1010,0.007474263,N/A,3
1004,1013,0.003701295,0.003738804,1
1004,1026,0.006654498,0.00380593,2
1004,1027,0.00763467,0.01442402,3
1004,1035,0.006157387,0.006567578,3
1004,1036,0.006841887,N/A,3
1004,1040,0.002133385,N/A,1
1004,1041,0.010888301,N/A,3
1004,1043,0.011390378,N/A,3
1004,4011,0.001399123,0.001060321,1
1005,1000,0.005739094,0.013541424,2
1005,1001,0.006042794,0.013967466,2
1005,1004,0.003874241,0.009784716,2
1005,1005,0.006066922,0.016819167,2
1005,1006,0.003658599,0.00953064,2
1005,1007,0.001886196,0.004175159,1
1005,1008,0.00242453,0.005740409,1
1005,1009,0.005100088,0.013437942,2
1005,1010,0.006436153,0.013714091,2
1005,1026,0.002557858,0.002603424,1
1005,1027,0.004612482,0.011594845,2
1005,1035,0.005293804,0.014079818,2
1005,1036,0.005580538,0.014152772,2
1005,1040,0.00182323,0.002082887,1
1005,1041,0.006393583,0.013114052,2
1005,1043,0.004968283,0.01047543,2
1005,4011,0.001853481,0.004001786,1
1006,1000,0.001136342,0.001750614,1
1006,1001,0.001357907,0.001627377,1
1006,1004,0.00053145,0.000109999,1
1006,1005,0.001015861,0.002996086,1
1006,1006,0.000451153,0.000292519,1
1006,1007,0.000498693,0.000109409,1
1006,1008,0.000621323,0.000645828,1
1006,1009,0.000764892,0.000497441,1
1006,1010,0.001576054,0.000310514,1
1006,1027,0.000704754,0.000775269,1
1006,1035,0.000875571,0.000794504,1
1006,1036,0.000772516,0.000160744,1
1006,1041,0.001369477,0.000269656,1
1006,1043,0.000851779,0.000168544,1
1006,4011,0.000622657,0.000674044,1
1007,1000,0.000722557,0.001772525,1
1007,1001,0.00091823,0.001584465,1
1007,1004,0.000252015,N/A,1
1007,1005,0.000720609,0.002911835,1
1007,1006,0.000152891,0.00033667,1
1007,1007,8.44701E-05,N/A,1
1007,1008,0.000155783,0.000266494,1
1007,1009,0.000399765,0.000316397,1
1007,1010,0.001098667,N/A,1
1007,1027,0.000366061,0.000779027,1
1007,1035,0.000414895,0.000374052,1
1007,1036,0.00029471,N/A,1
1007,1041,0.000960825,N/A,1
1007,1043,0.000577707,N/A,1
1007,4011,0.000282665,0.000620067,1
1007,5001,0.002837883,0.002793257,1
1007,5002,0.000366283,0.000596664,1
1007,5005,0.006678377,N/A,1
1008,1000,0.003393745,0.007714187,1
1008,1001,0.003670788,0.007937622,1
1008,1004,0.002344697,0.00594794,1
1008,1005,0.003252567,0.008004338,1
1008,1006,0.002193822,0.00586573,1
1008,1007,0.002492256,0.006839981,1
1008,1008,0.002789829,0.007949795,1
1008,1009,0.002854925,0.00711914,1
1008,1010,0.003911174,0.007918743,1
1008,1027,0.002733149,0.006857575,1
1008,1035,0.003103149,0.008112553,1
1008,1036,0.003001278,0.007693281,1
1008,1041,0.003704784,0.007449828,1
1008,1043,0.00294601,0.006226039,1
1008,4011,0.002597209,0.006827453,1
1009,1000,0.001757863,0.00155497,1
1009,1001,0.001794499,0.001762981,1
1009,1004,0.001352957,0.001214263,1
1009,1005,0.002614163,0.004901616,1
1009,1006,0.001328278,0.001168344,1
1009,1009,0.001872594,0.003041558,1
1009,1010,0.001868398,0.001488459,1
1009,1026,0.002828037,0.001751168,1
1009,1027,0.001566863,0.00147397,1
1009,1035,0.001591157,0.001556605,1
1009,1036,0.001808346,0.001601192,1
1009,1040,0.002020077,0.001203091,1
1009,1041,0.002136759,0.001489185,1
1009,1043,0.001838192,0.001255965,1
1010,1002,0.008231908,0.002357267,1
1010,1041,0.006687862,N/A,1
1010,1043,0.015172652,N/A,2
1013,1000,0.005951545,0.012938253,1
1013,1001,0.006540947,0.013952755,1
1013,1004,0.003227591,0.0074621,1
1013,1005,0.004418234,0.00996899,1
1013,1006,0.00300462,0.007134973,1
1013,1007,0.004257103,0.010199052,1
1013,1008,0.00552888,0.014148821,1
1013,1009,0.004708122,0.010982182,1
1013,1010,0.007242794,0.014941222,1
1013,1027,0.00428678,0.009968279,1
1013,1035,0.006092619,0.014886527,1
1013,1036,0.006132556,0.014246947,1
1013,1041,0.006168628,0.012677607,1
1013,1043,0.003991999,0.008428073,1
1013,4011,0.004041893,0.009727056,1
1026,1000,0.006383062,0.004469226,2
1026,1001,0.006684403,0.005570234,2
1026,1002,0.009443716,0.006927001,1
1026,1004,0.011111785,0.013253381,3
1026,1005,0.015025728,0.035656971,3
1026,1006,0.015945755,0.027438245,4
1026,1007,0.001806565,0.000515133,1
1026,1008,0.002385757,0.002400318,1
1026,1009,0.01772086,0.031896207,4
1026,1010,0.019060193,0.026558716,4
1026,1013,0.007118307,0.007619176,1
1026,1026,0.018933533,0.027731734,3
1026,1027,0.019795894,0.038834069,4
1026,1035,0.017758006,0.033021103,4
1026,1036,0.019510844,0.026004624,4
1026,1040,0.006917659,0.003318266,2
1026,1041,0.016447379,0.014026157,3
1026,1043,0.022705764,0.020440758,4
1026,2000,0.00414287,0.01111967,3
1026,2004,0.005634486,0.013314588,3
1026,2005,0.001067548,0.000670808,1
1026,2009,0.00274598,0.001692866,1
1026,2013,0.001784868,0.001365073,1
1026,2014,0.002186027,0.004060998,1
1026,2019,0.004649309,0.009377709,2
1026,2020,0.004534321,0.00794237,1
1026,2021,0.001811684,0.003175266,1
1026,2022,0.001883821,0.001178866,1
1026,2028,0.006269334,0.014359582,3
1026,2035,0.005808064,0.008155441,3
1026,2036,0.00290882,0.007146748,2
1026,2043,0.005643765,0.012467478,3
1026,2044,0.002927546,0.00704511,3
1026,2045,0.00591232,0.013670914,3
