source_id,target_id,subregion,parcel,NC_mean,NC_std
1000,1002,DG,H,2.896461161,2.746329449
1000,1004,DG,H,2.269547628,3.250716897
1000,1005,DG,H,1.866712199,2.687325081
1000,1006,DG,H,1.764075496,2.970356068
1000,1009,DG,H,1.912774369,2.969292758
1000,1010,DG,H,2.32635901,3.662106418
1000,1013,DG,H,2.843827989,3.655008853
1000,1026,DG,H,3.09344606,4.248365854
1000,1027,DG,H,2.788093375,4.288286896
1000,1035,DG,H,2.100156362,3.49550032
1000,1036,DG,H,3.672333682,5.521699784
1000,1041,DG,H,2.084608878,2.120019787
1000,1043,DG,H,3.114210419,2.914899795
1000,2000,CA3,SL,1.164074976,0
1000,2000,CA3,SP,1.393515795,1.287254645
1000,2004,CA3,SL,2.080576594,0
1000,2004,CA3,SP,2.553546017,1.611009054
1000,2005,CA3,SL,1.539576096,0
1000,2013,CA3,SL,1.594428877,1.499813005
1000,2014,CA3,SL,1.426652977,3.966598993
1000,2019,CA3,SL,3.096657295,0.861183049
1000,2028,CA3,SL,1.762451534,0
1000,2028,CA3,SP,1.603704295,0.957003868
1000,2035,CA3,SL,1.20484471,0
1000,2035,CA3,SP,0.669591935,0.107579506
1000,2036,CA3,SL,1.247040908,0.864507172
1000,2036,CA3,SP,1.060829451,1.472515341
1000,2043,CA3,SL,1.703871751,0
1000,2043,CA3,SP,1.58686704,0.83353569
1000,2044,CA3,SL,0.876566829,0
1000,2044,CA3,SP,0.759859371,0.465517413
1000,2045,CA3,SL,1.698791945,0
1000,2045,CA3,SP,1.344297026,0.809047807
1000,2046,CA3,SL,1.043203636,0.229713594
1000,2046,CA3,SP,1.624971308,1.354198448
1000,2049,CA3,SL,0.99110007,0
1000,2049,CA3,SP,1.351057839,1.251118739
1001,1000,DG,SMi,3.048412254,3.292297812
1001,1001,DG,SMi,2.414211793,3.23762663
1001,1002,DG,H,5.698578125,4.929035421
1001,1004,DG,H,5.676139244,11.44744305
1001,1004,DG,SMi,1.620131,0.789258741
1001,1005,DG,H,3.121946222,6.192738901
1001,1005,DG,SMi,0.795785898,2.608187286
1001,1006,DG,H,3.83950406,10.65207644
1001,1006,DG,SG,0.503331754,1.37092725
1001,1006,DG,SMi,1.067549453,0.808099912
1001,1009,DG,H,4.662441506,11.87759994
1001,1009,DG,SG,0.578235874,1.681222325
1001,1009,DG,SMi,0.921471961,3.941695227
1001,1010,DG,H,6.915568932,18.67308273
1001,1010,DG,SG,0.651681729,1.976660741
1001,1010,DG,SMi,1.76063615,0.474531919
1001,1013,DG,H,6.719486435,11.05457493
1001,1026,DG,H,8.177091316,14.85525051
1001,1026,DG,SG,0.596969568,1.269768681
1001,1026,DG,SMi,0.627581056,0.399976562
1001,1027,DG,H,6.596821495,15.64374545
1001,1027,DG,SG,0.538310978,1.4943285
1001,1027,DG,SMi,1.249523527,2.188575454
1001,1035,DG,H,6.327334276,19.60754045
1001,1035,DG,SG,0.678208634,2.078141378
1001,1035,DG,SMi,2.818655446,2.225247748
1001,1036,DG,H,12.30224775,28.62370822
1001,1036,DG,SG,0.891555794,2.609924203
1001,1036,DG,SMi,4.04833184,1.799655561
1001,1040,DG,SG,0.666924642,1.687795078
1001,1040,DG,SMi,0.834282069,0.129951719
1001,1041,DG,H,3.400285356,3.183511426
1001,1041,DG,SMi,1.499924109,0.287427219
1001,1043,DG,H,5.62905838,4.540362449
1001,1043,DG,SG,0.565179029,1.498841057
1001,1043,DG,SMi,0.812753662,0.150428962
1001,2000,CA3,SL,3.63507914,0
1001,2004,CA3,SL,5.393301335,0
1001,2005,CA3,SL,3.253636974,0
1001,2013,CA3,SL,1.665104548,2.965894599
1001,2014,CA3,SL,1.351170136,5.277324296
1001,2019,CA3,SL,3.601257273,1.857293671
1001,2028,CA3,SL,2.687427172,0
1001,2035,CA3,SL,2.557191925,0
1001,2036,CA3,SL,2.956250344,6.026697455
1001,2043,CA3,SL,3.115271437,0
1001,2044,CA3,SL,2.320601535,0
1001,2045,CA3,SL,2.34075163,0
1001,2046,CA3,SL,3.118749076,1.48762182
1001,2049,CA3,SL,2.685591291,0
1002,1000,DG,Smi,1.182963074,0.742112019
1002,1001,DG,SMi,1.162947434,0.819930985
1002,1002,DG,H,2.982026066,1.460846005
1002,1004,DG,H,1.60409414,0.965043141
1002,1004,DG,SMi,0.573968222,0.356697582
1002,1005,DG,H,1.328684104,1.087311863
1002,1005,DG,SMi,0.634305569,0.490494426
1002,1006,DG,H,1.14577707,1.021179907
1002,1006,DG,SMi,0.564451384,0.355114641
1002,1009,DG,H,1.26586954,0.813292648
1002,1009,DG,SMi,0.617177361,0.457027949
1002,1010,DG,H,1.602360233,1.01223059
1002,1010,DG,SMi,0.681887,0.420419045
1002,1013,DG,H,2.74627136,1.699836351
1002,1026,DG,H,2.363331677,1.402654418
1002,1026,DG,SMi,0.647790563,0.401598014
1002,1027,DG,H,2.124296774,1.692206581
1002,1027,DG,SMi,0.597960608,0.39006677
1002,1035,DG,H,1.398017231,1.004960887
1002,1035,DG,SMi,0.643297468,0.430144515
1002,1036,DG,H,2.7711051,1.709981595
1002,1036,DG,SMi,0.770172414,0.478217064
1002,1040,DG,SMi,1.100683152,0.663614086
1002,1041,DG,H,1.592275509,0.788021941
1002,1041,DG,SMi,0.702936315,0.429197896
1002,1043,DG,H,2.697297708,1.267826887
1002,1043,DG,SMi,0.60296165,0.367595888
1004,1000,DG,SMi,3.713449095,0.617506827
1004,1000,DG,SMo,5.400669636,4.560797932
1004,1001,DG,SMi,3.270594844,1.306362551
1004,1001,DG,SMo,6.921595565,4.875466421
1004,1002,DG,H,4.690768029,1.653441547
1004,1004,DG,H,4.23655221,0
1004,1004,DG,SMi,1.672129045,0
1004,1004,DG,SMo,1.761400886,0
1004,1005,DG,H,2.363919041,3.586076066
1004,1005,DG,SMi,1.944466128,3.025783433
1004,1005,DG,SMo,1.889748655,3.49165512
1004,1006,DG,H,2.943856872,3.789431973
1004,1006,DG,SMi,1.467535117,0.202117328
1004,1006,DG,SMo,1.720887946,0.469169472
1004,1007,DG,SMo,4.053050749,0
1004,1008,DG,SMo,7.829284977,5.41528866
1004,1009,DG,H,3.54436141,0.978887105
1004,1009,DG,SMi,2.138851741,2.518167577
1004,1009,DG,SMo,3.288291843,1.357513862
1004,1010,DG,H,5.189309234,0
1004,1010,DG,SMi,3.380122874,0
1004,1010,DG,SMo,11.60642423,0
1004,1013,DG,H,5.420777127,5.463384711
1004,1026,DG,H,6.464093242,2.696096063
1004,1026,DG,SMi,2.201616723,0.764239488
1004,1027,DG,H,5.125330943,8.643810368
1004,1027,DG,SMi,2.01616182,0.680640481
1004,1027,DG,SMo,2.697492236,1.521609182
1004,1035,DG,H,4.703407247,1.749541106
1004,1035,DG,SMi,2.955769616,0.736522353
1004,1035,DG,SMo,8.600001775,5.360098062
1004,1036,DG,H,9.269066652,0
1004,1036,DG,SMi,5.1808279,0
1004,1036,DG,SMo,10.5003852,0
1004,1040,DG,SMi,2.392843951,0
1004,1041,DG,H,2.599925246,0
1004,1041,DG,SMi,3.447339725,0
1004,1041,DG,SMo,4.599462972,0
1004,1043,DG,H,4.490210771,0
1004,1043,DG,SMi,1.892778295,0
1004,1043,DG,SMo,1.799813765,0
1004,4011,DG,SMo,3.232884065,1.91825
1005,1000,DG,SMi,2.209195225,3.142994197
1005,1000,DG,SMo,3.730618154,6.844703513
1005,1001,DG,SMi,1.982841459,2.821125625
1005,1001,DG,SMo,4.839561516,8.370389089
1005,1004,DG,SMi,1.207888975,1.759985925
1005,1004,DG,SMo,1.368451916,2.768165389
1005,1005,DG,SMi,1.413202058,2.390483734
1005,1005,DG,SMo,1.579771562,3.275022516
1005,1006,DG,SMi,1.103038753,1.570171339
1005,1006,DG,SMo,1.318232101,2.814449983
1005,1007,DG,SMo,2.762269825,6.05936391
1005,1008,DG,SMo,5.006249397,11.25576203
1005,1009,DG,SMi,1.483793464,2.391607047
1005,1009,DG,SMo,2.344313077,4.631538094
1005,1010,DG,SMi,2.13525116,2.882725315
1005,1010,DG,SMo,8.225545545,13.14543665
1005,1026,DG,SMi,1.970006079,1.897226271
1005,1027,DG,SMi,1.398903533,1.982912332
1005,1027,DG,SMo,1.969680476,3.935965261
1005,1035,DG,SMi,1.88355485,2.813087981
1005,1035,DG,SMo,5.619842043,11.5624696
1005,1036,DG,SMi,3.067560564,4.431813581
1005,1036,DG,SMo,6.642588429,13.58229561
1005,1040,DG,SMi,1.772726907,1.965483552
1005,1041,DG,SMi,2.197989962,2.715406746
1005,1041,DG,SMo,3.43258194,5.446137531
1005,1043,DG,SMi,1.352249078,1.648305627
1005,1043,DG,SMo,1.485197622,2.483525838
1005,4011,DG,SMo,2.359297237,4.921568271
1006,1000,DG,SMo,5.154060399,7.901546025
1006,1001,DG,SMo,6.123235116,7.162821081
1006,1004,DG,SMo,2.540478769,0.394374208
1006,1005,DG,SMo,2.170702933,6.294465606
1006,1006,DG,SMo,2.681721402,1.643123214
1006,1007,DG,SMo,5.057803665,0.8670966
1006,1008,DG,SMo,9.457245975,7.318228534
1006,1009,DG,SMo,3.923749136,1.962856034
1006,1010,DG,SMo,9.710195776,1.375794185
1006,1027,DG,SMo,3.369034198,3.49978801
1006,1035,DG,SMo,9.383877374,6.066505615
1006,1036,DG,SMo,12.22648693,1.915882588
1006,1041,DG,SMo,4.273861166,0.60485751
1006,1043,DG,SMo,2.186370499,0.312365858
1006,4011,DG,SMo,3.399880931,3.280250079
1007,1000,DG,SMo,5.678075178,13.92406506
1007,1001,DG,SMo,6.343286815,10.85503798
1007,1004,DG,SMo,3.752887329,0
1007,1005,DG,SMo,2.143627769,8.589723369
1007,1006,DG,SMo,5.543331701,12.17349886
1007,1007,DG,SMo,20.91735442,0
1007,1008,DG,SMo,26.4226861,41.47200021
1007,1009,DG,SMo,5.259098115,3.614852572
1007,1010,DG,SMo,9.757704389,0
1007,1027,DG,SMo,4.543647717,9.548908852
1007,1035,DG,SMo,13.87233873,9.055257172
1007,1036,DG,SMo,22.45066645,0
1007,1041,DG,SMo,4.267225524,0
1007,1043,DG,SMo,2.258174388,0
1007,4011,DG,SMo,5.246328043,11.23965964
1007,5001,SUB,SM,3.179079908,2.968592941
1007,5002,SUB,SM,3.437771836,5.535836636
1007,5005,SUB,SM,2.732257868,0
1008,1000,DG,SMo,11.3178331,25.23507546
1008,1001,DG,SMo,14.85509814,31.28634338
1008,1004,DG,SMo,3.776375421,9.436491452
1008,1005,DG,SMo,4.446232919,10.5159915
1008,1006,DG,SMo,3.616760936,9.522211949
1008,1007,DG,SMo,6.637219556,17.98330194
1008,1008,DG,SMo,13.81301438,37.74282709
1008,1009,DG,SMo,6.89430218,16.70813601
1008,1010,DG,SMo,25.66112254,50.72949839
1008,1027,DG,SMo,5.697227847,13.94595242
1008,1035,DG,SMo,17.36419825,43.43402866
1008,1036,DG,SMo,20.63890109,52.12960484
1008,1041,DG,SMo,10.36086939,20.33617698
1008,1043,DG,SMo,4.145722619,8.572048493
1008,4011,DG,SMo,5.345517767,13.6254013
1009,1000,DG,SMi,5.733745914,5.033800716
1009,1001,DG,SMi,5.037985559,4.640105843
1009,1004,DG,SMi,2.992675313,2.681452749
1009,1005,DG,SMi,3.144435983,5.816260968
1009,1006,DG,SMi,2.671900859,2.328536236
1009,1009,DG,SMi,3.554173816,5.632901022
1009,1010,DG,SMi,5.419395841,4.308303662
1009,1026,DG,SMi,3.246101491,1.915260162
1009,1027,DG,SMi,3.460826726,3.174353773
