"RefID","source_ID","source_class","target_ID","target_class","Quote","Location","Author","Title","Journal","Year","PMID/ISBN","pmid_isbn_page","UID","Unknown","Figure","HcoRefID"
1000003,2000,"CA3 Pyr",4036,"CA1 AA","All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000003,2000,"CA3 Pyr",4078,"CA1 basket","All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000003,2000,"CA3 Pyr",4055,"CA1 O/A","All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000003,2000,"CA3 Pyr",4069,"CA1 O-LM","All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000003,2000,"CA3 Pyr",4000,"CA1 Pyr","All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000012,2000,"CA3 Pyr",4000,"CA1 Pyr","It is also known that CA3 pyramidal cells have multiple axonal branchings seen as a bundle of parallel axons (Finch and Babb, 1981). Apart from the Schaffer collateral (Sayer et al., 1989) at least three sister collaterals can be found vertically in the stratum radiatum (Andersen, 1990). This gives a minimum of 4 X 1.3 = 5.2 synaptic contacts from a single CA3 pyramidal cell onto a single CA1 pyramidal cell. Moreover, single radiatum fibres have been reported to produce multiple synapses with single CA1 pyramidal cells (Sorra and Harris, 1993).","p499, right lower","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000120,2028,"CA3 AA",2000,"CA3 Pyr","the number of synapses made on the initial segment, i.e., 100-200 (Kosaka, 1980) for five [CA3] chandelier [axo-axonic] cells contacting one [CA3] pyramidal cell (Best et al., 1993a","p505, left lower","Bernard C, Wheal HV","Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus","Hippocampus",1994,7889123,0,NULL,NULL,NULL,NULL
1000366,1000,"GC",1035,"DG Basket","The most distinctive of these are the pyramidal basket cells, which have large triangular somata located at or beneath the hilar margin of the GL [granular layer] and an axon originating from an apical dendrite. Seress and his collaborators recognized four additional types with somata in the GL and inner ML [molecular layer] (Ribak and Seress, 1983; Seress and Pokorny, 1981). All described basket cell types possess an apical dendritic arbor ascending into the ML, receiving perforant path (see Extrinsic input: The retrohippocampal region) and commissural associational input (see Intrinsic connections: Excitatory polymorphic cells), and a basal dendritic arbor, usually descending into the hilus and receiving input from granule cell axons (see Intrinsic connections: Granule cells). Basket cells with somata in the ML are located furthest from the hilus and possess only one or two dendrites penetrating the GL.","p249, left middle","Patton PE, McNaughton B","Connection matrix of the hippocampal formation: I The dentate gyrus","Hippocampus",1995,8589792,0,NULL,NULL,NULL,NULL
1000480,1000,"GC",2000,"CA3 Pyr","[Dentate gyrus granule neuron] MFs [mossy fibers] form two major types of synapse in the stratum lucidum of the CA3, and these two types display a high degree of target selectivity and functional specialization. Namely, the unusually large (3-6 microm; so-called giant) MF terminals innervate primarily pyramidal cells, whereas small filopodia emanating from the giant terminals and small en passant boutons contact GABAergic cells (Acsady et al., 1998).","p4239, left lower","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000486,1000,"GC",2043,"CA3 Basket","Figure 2. MFs [mossy fibers] are monosynaptically connected to FSBCs [fast-spiking basket cells] in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, and immunoreactivities of a representative FSBC that received monosynaptic MF inputs. Circle graph indicates the relative proportion of the FSBCs (shaded black in the circle graph) that received monosynaptic inputs from MFs of the 14 MF-FSBC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firing pattern: 20 mV, 200 ms). ? C, An example FSBC in the CA3 that received MF-EPSC and had significant axonal innervations of the DG granule cell layer (black, axon; gray, dendrite).","p4242, Figure 2A,C","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000489,1000,"GC",2044,"CA3 Basket CCK+","Figure 3. MFs [mossy fibers] are monosynaptically connected to RSBCs [regular-spiking basket cells] in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, and immunoreactivities of a representative RSBC that received monosynaptic MF inputs. Circle graph indicates the relative proportion of the RSBCs (shaded black in the circle graph) that were monosynaptically connected to presynaptic MFs from the 29 tested MF-RSBC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firingpattern: 20 mV, 200 ms).","p4243, Figure 3A","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000498,2046,"CA3 Ivy",2000,"CA3 Pyr","However, in contrast to hippocampal neurogliaform cells (Price et al., 2005), [CA3] IvyCs [ivy cells] release GABA onto the proximal dendritic region of pyramidal cells as they innervate the inner portion of stratum radiatum and stratum oriens (Fuentealba et al., 2008). The most characteristic property of IvyCs was their dense axonal arborization in strata radiatum and oriens forming small and frequent boutons (all IvyCs showed the latter property) (supplemental Fig. 5A,C,D, available at www.jneurosci.org as supplemental material) (note that the present data comprise the first description of IvyCs out side of the CA1 region).","p4243, right lower","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000504,1000,"GC",4081,"CA3 Ivy","Figure 4. MFs [mossy fibers] are monosynaptically connected to IvyCs [ivy cells] in CA3. A, Axonal arborization, firing pattern, and immunoreactivities of a representative IvyC. Circle graph indicates the relative proportion of the IvyCs (shaded black in the circle graph) that received monosynaptic inputs from MFs of the 30 MF-IvyC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum; rad, stratum radiatum) (calibration for the firing pattern: 20 mV, 200 ms).","p4244, Figure 4A","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000507,1000,"GC",2019,"CA3 Spiny lucidum cell","Figure 5. MFs [mossy fibers] are monosynaptically connected to SLCs [spiny lucidum cells] in CA3. A, Dendritic (gray) and axonal (black arborizations firing pattern, the spiny dendritic surface, and immunoreactivities of a representative SLC that received monosynaptic MF inputs. Note that the SLC dendrites aligned with the stratum lucidum. Asterisk marks the severed main (presumably long distance-projecting) axon of the SLC on the surface of the slice. Circle graph indicates the relative proportion of the SLCs (shaded black in the circle graph) that received monosynaptic input from MFs of the 46 MF?SLC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firing pattern: 20 mV, 200 ms). B, Top (gray), Average action potential trace from a MF that was monosynaptically connected to a SLC. Middle traces (black), Representative single traces from three SLCs that received monosynaptic inputs from MFs. Bottom (black), Average MF-evoked responses from all SLCs that received monosynaptic MF inputs (see C) (the average of the average responses from all 15 connected pairs is shown). Dashed lines indicate the peak of presynaptic action potentials and asterisks mark monosynaptic events in SLCs. Note the relatively frequent spontaneous events on the single traces. C, Synaptic connections from MFs could be observed in SLCs, mostly only during long trains of presynaptic stimulation because of low initial transmission probabilities. C1, Postsynaptic trace in a SLC in response to stimulation of presynaptic MF with 50 action potentials at 50 Hz. C2, Probability of monosynaptic EPSCs in SLCs (n = 15) during long presynaptic MF trains (plot aligned with presynaptic action potentials on the top in C1; same frequency and number of action potentials as in sample trace). Asterisks mark significant differences (paired Wilcoxon test; p < 0.05 or smaller). C3, Superimposed presynaptic action potentials (top) and postsynaptic responses (bottom). Note the change in the width of the action potentials characteristic for MFs and the variability of the amplitude of the evoked events. D, An example SLC that projected from the CA3 to the DG. Note that the main axon exited the surface of the slice (asterisk).","p4245, Figure 5A,D","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000519,1000,"GC",2019,"CA3 Spiny lucidum cell","Similar to FSBCs [fast-spiking basket cells], SLCs [spiny lucidum cells] also receive numerous MF [mossy fiber] inputs. The unique dendritic orientation of SLCs along the strata lucidum suggests that MFs may be a primary source of synaptic excitation in this septum-projecting GABAergic cell type (Wittner et al., 2006).","p4249, right upper","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000519,1000,"GC",2043,"CA3 Basket PV","Similar to FSBCs [fast-spiking basket cells], SLCs [spiny lucidum cells] also receive numerous MF [mossy fiber] inputs. The unique dendritic orientation of SLCs along the strata lucidum suggests that MFs may be a primary source of synaptic excitation in this septum-projecting GABAergic cell type (Wittner et al., 2006).","p4249, right upper","Szabadics J, Soltesz I","Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus","The Journal of Neuroscience",2009,19339618,0,NULL,NULL,NULL,NULL
1000543,4081,"CA1 Ivy",4000,"CA1 Pyr","The randomly sampled [CA1 ivy neuron] synapses (n = 11 for P2a; n = 13 for T134b; n = 10 for T140b) had small synaptic junctions targeting mainly dendritic shafts (81%, Figures 3E and 3H) of pyramidal cells, including basal dendrites in stratum oriens and oblique dendritic shafts in stratum radiatum.","p918, right lower","Fuentealba P, Begum R, Capogna M, Jinno S, Mrton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T","Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity","Neuron",2008,18367092,0,NULL,NULL,NULL,NULL
