Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neuron Type,Variable,Name of file containing figure,Reference_ID
Andrade 2000,,,,10967306,5001,Sub-EC SP,x133,Andrade-PaulaBarbosa-2000-125-v875-BrainRes-Fig2B-Cell5001-x133.jpeg,905348
Andrade 2000,,,,10967306,5005,Sub-CA1 SP,x134,Andrade-PaulaBarbosa-2000-125-v875-BrainRes-Fig2B-Cell5005-x134.jpeg,905350
"Attili et al., 2019",,,,31444616,1001,SMi Semilunar Granule,x3,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1001-x3.jpeg,900260
"Attili et al., 2019",,,,31444616,1002,H Mossy,x4,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1002-x4.jpeg,900274
"Attili et al., 2019",,,,31444616,1007,SMo DG Neurogliaform,x20,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1007-x20.jpeg,900270
"Attili et al., 2019",,,,31444616,1008,SMi MOPP,x18,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1008-x18.jpeg,900266
"Attili et al., 2019",,,,31444616,1008,SMo MOPP,x19,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1008-x19.jpeg,900268
"Attili et al., 2019",,,,31444616,1009,H HICAP,x11,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1009-x11.jpeg,900280
"Attili et al., 2019",,,,31444616,1013,H HIPP,x13,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1013-x13.jpeg,900282
"Attili et al., 2019",,,,31444616,1026,H HIPROM,x15,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1026-x15.jpeg,900284
"Attili et al., 2019",,,,31444616,1027,H AIPRIM,x6,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1027-x6.jpeg,900278
"Attili et al., 2019",,,,31444616,1036,SMi DG Basket CCK+,x10,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1036-x10.jpeg,900262
"Attili et al., 2019",,,,31444616,1040,SMi MOCAP,x16,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1040-x16.jpeg,900264
"Attili et al., 2019",,,,31444616,1041,H Hilar Ectopic Granule,x2,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1041-x2.jpeg,900272
"Attili et al., 2019",,,,31444616,1043,H Mossy MOLDEN,x5,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell1043-x5.jpeg,900276
"Attili et al., 2019",,,,31444616,2001,CA3 Granule SL,x26,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2001-x26.jpeg,901330
"Attili et al., 2019",,,,31444616,2001,CA3 Granule SR,x27,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2001-x27.jpeg,901318
"Attili et al., 2019",,,,31444616,2003,CA3 Giant SR,x25,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2003-x25.jpeg,901316
"Attili et al., 2019",,,,31444616,2005,CA3 LMR-Targeting SLM,x40,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2005-x40.jpeg,901314
"Attili et al., 2019",,,,31444616,2008,CA3 R-LM SR,x56,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2008-x56.jpeg,901328
"Attili et al., 2019",,,,31444616,2009,CA3 O-LM SO,x50,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2009-x50.jpeg,901360
"Attili et al., 2019",,,,31444616,2013,Lucidum ORAX SL,x42,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2013-x42.jpeg,901338
"Attili et al., 2019",,,,31444616,2014,Lucidum-Radiatum SL,x43,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2014-x43.jpeg,901340
"Attili et al., 2019",,,,31444616,2017,Lucidum LAX SL,x41,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2017-x41.jpeg,901336
"Attili et al., 2019",,,,31444616,2019,Spiny Lucidum SL,x44,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2019-x44.jpeg,901342
"Attili et al., 2019",,,,31444616,2020,CA3 Trilaminar SO,x58,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2020-x58.jpeg,901366
"Attili et al., 2019",,,,31444616,2021,CA3 Interneuron Specific Oriens SO,x34,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2021-x34.jpeg,901354
"Attili et al., 2019",,,,31444616,2022,CA3 SO-SO SO,x57,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2022-x57.jpeg,901364
"Attili et al., 2019",,,,31444616,2023,CA3 Radiatum SR,x55,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2023-x55.jpeg,901326
"Attili et al., 2019",,,,31444616,2035,Mossy Fiber-Associated ORDEN SO,x47,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2035-x47.jpeg,901358
"Attili et al., 2019",,,,31444616,2035,Mossy Fiber-Associated ORDEN SL,x49,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2035-x49.jpeg,901346
"Attili et al., 2019",,,,31444616,2036,Mossy Fiber-Associated SL,x45,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2036-x45.jpeg,901344
"Attili et al., 2019",,,,31444616,2036,Mossy Fiber-Associated SR,x46,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2036-x46.jpeg,901322
"Attili et al., 2019",,,,31444616,2042,CA3 Interneuron Specific Quad SO,x35,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2042-x35.jpeg,901356
"Attili et al., 2019",,,,31444616,2042,CA3 Interneuron Specific Quad SL,x37,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2042-x37.jpeg,901332
"Attili et al., 2019",,,,31444616,2042,CA3 Interneuron Specific Quad SR,x38,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2042-x38.jpeg,901320
"Attili et al., 2019",,,,31444616,2045,CA3 Bistratified SO,x32,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2045-x32.jpeg,901352
"Attili et al., 2019",,,,31444616,2046,CA3 Ivy SL,x39,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2046-x39.jpeg,901334
"Attili et al., 2019",,,,31444616,2047,CA3 Horizontal Axo-axonic SO,x29,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2047-x29.jpeg,901350
"Attili et al., 2019",,,,31444616,2049,CA3 QuadD-LM SO,x51,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2049-x51.jpeg,901362
"Attili et al., 2019",,,,31444616,2049,CA3 QuadD-LM SL,x53,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2049-x53.jpeg,901348
"Attili et al., 2019",,,,31444616,2049,CA3 QuadD-LM SR,x54,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell2049-x54.jpeg,901324
"Attili et al., 2019",,,,31444616,4000,SR Pyramidal,x70,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4000-x70.jpeg,903316
"Attili et al., 2019",,,,31444616,4003,SR Quadrilaminar,x119,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4003-x119.jpeg,903344
"Attili et al., 2019",,,,31444616,4003,SLM Quadrilaminar,x120,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4003-x120.jpeg,903310
"Attili et al., 2019",,,,31444616,4004,SR LMR Projecting,x104,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4004-x104.jpeg,903336
"Attili et al., 2019",,,,31444616,4004,SLM LMR Projecting,x105,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4004-x105.jpeg,903302
"Attili et al., 2019",,,,31444616,4005,SR LMR,x102,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4005-x102.jpeg,903334
"Attili et al., 2019",,,,31444616,4005,SLM LMR,x103,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4005-x103.jpeg,903300
"Attili et al., 2019",,,,31444616,4006,SR Perforant-Path Associated,x116,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4006-x116.jpeg,903340
"Attili et al., 2019",,,,31444616,4006,SLM Perforant-Path Associated,x117,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4006-x117.jpeg,903308
"Attili et al., 2019",,,,31444616,4011,SLM Neurogliaform Projecting,x107,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4011-x107.jpeg,903306
"Attili et al., 2019",,,,31444616,4012,SLM Neurogliaform,x106,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4012-x106.jpeg,903304
"Attili et al., 2019",,,,31444616,4013,SR Radial Trilaminar,x132,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4013-x132.jpeg,903356
"Attili et al., 2019",,,,31444616,4015,SR Schaffer Collateral-Associated,x124,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4015-x124.jpeg,903350
"Attili et al., 2019",,,,31444616,4015,SLM Schaffer Collateral-Associated,x125,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4015-x125.jpeg,903314
"Attili et al., 2019",,,,31444616,4020,SR IS O-Targeting,x95,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4020-x95.jpeg,903328
"Attili et al., 2019",,,,31444616,4021,SR IS LM-R,x89,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4021-x89.jpeg,903324
"Attili et al., 2019",,,,31444616,4021,SLM IS LM-R,x90,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4021-x90.jpeg,903298
"Attili et al., 2019",,,,31444616,4022,SR IS LMO-O,x88,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4022-x88.jpeg,903322
"Attili et al., 2019",,,,31444616,4023,SO Back-Projection,x77,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4023-x77.jpeg,903362
"Attili et al., 2019",,,,31444616,4028,SR Radiatum,x121,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4028-x121.jpeg,903346
"Attili et al., 2019",,,,31444616,4028,SLM Radiatum,x122,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4028-x122.jpeg,903312
"Attili et al., 2019",,,,31444616,4031,SO IS O-R,x93,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4031-x93.jpeg,903372
"Attili et al., 2019",,,,31444616,4033,SO SO-SO,x128,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4033-x128.jpeg,903390
"Attili et al., 2019",,,,31444616,4035,SO Trilaminar,x130,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4035-x130.jpeg,903392
"Attili et al., 2019",,,,31444616,4036,SO Axo-axonic,x74,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4036-x74.jpeg,903358
"Attili et al., 2019",,,,31444616,4038,SO Horizontal Axo-axonic,x76,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4038-x76.jpeg,903360
"Attili et al., 2019",,,,31444616,4039,SO Horizontal Basket,x83,Attili-Ascoli-2019-2882-v224-BrainStructFunct-Tab2-Cell4039-x83.jpeg,903368
