Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Parameter,Parameter_ID,Name of file containing figure,Protocol_tag,FTQ_ID,Figure/Table,Quote reference id,Interpretation notes figures
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,1000,Vthresh,04,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell1000-Vthresh.jpeg,,10101,ephys_figure,100004086010101,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,1000,fAHP,05,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell1000-fAHP.jpeg,,10101,ephys_figure,100005086010101,
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,1000,maxFR,08,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell1000-maxFR.jpeg,,10101,ephys_figure,100008086010101,
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,1000,sAHP,09,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell1000-sAHP.jpeg,,10101,ephys_figure,100009086010101,
"Han ZS, Buhl EH, Lörinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,European Journal of Neuroscience,1993,8261117,1000,Vthresh,04,Han-Somogyi-1993-395-EurJNeurosci-Fig1B-Cell1000-Vthresh.jpeg,,10102,ephys_figure,100004111710102,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Han ZS, Buhl EH, Lörinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,European Journal of Neuroscience,1993,8261117,1000,fAHP,05,Han-Somogyi-1993-395-EurJNeurosci-Fig1B-Cell1000-fAHP.jpeg,,10102,ephys_figure,100005111710102,
"Han ZS, Buhl EH, Lörinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,European Journal of Neuroscience,1993,8261117,1000,APampl,06,Han-Somogyi-1993-395-EurJNeurosci-Fig1B-Cell1000-APampl.jpeg,,10102,ephys_figure,100006111710102,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Han ZS, Buhl EH, Lörinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,European Journal of Neuroscience,1993,8261117,1000,sAHP,09,Han-Somogyi-1993-395-EurJNeurosci-Fig1B-Cell1000-sAHP.jpeg,,10102,ephys_figure,100009111710102,
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,APampl,06,Lubke-Spruston-1998-JNeurophys-Fig1C-Cell1000-APampl.jpeg,,10103,ephys_figure,100006742910103,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,Vthresh,04,Lubke-Spruston-1998-JNeurophys-Fig1C-Cell1000-Vthresh.jpeg,,10103,ephys_figure,100004742910103,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,1000,APwidth,07,Lubke-Spruston-1998-JNeurophys-Tab1-Cell1000-APwidth.jpeg,,20100,ephys_table,100007742920100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
