Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,4069,Klausberger--2009-947-EurJNeurosci-Fig2-CA1_1002_O-LM.jpeg,figure,576,,,,,,,343
"Klausberger T, Somogyi P",Neuronal diversity and temporal dynamics: the unity of hippocampal circuit operations,Science,2008,18599766,4036,Klausberger-Somogyi-2008-53-Science-Fig1-CA1-2232_AA.jpeg,figure,630,,,"#1: Perisomatic axonal targeting, such as somata, proximal dendrites, and axon initial segments, is reported as axons in the principal cell layer (PCL).",,,,360
"Somogyi P, Klausberger T",Defined types of cortical interneurone structure space and spike timing in the hippocampus,The Journal of Physiology,2005,15539390,4036,Somogyi-Klausberger-2005-9-JPhysiol-Fig1-CA1_2232_AA.jpeg,figure,645,,,"#1. Perisomatic axonal targeting, such as somata, proximal dendrites, and axon initial segments, is reported as axons in the principal cell layer (PCL).",,,,545
"Price CJ, Cauli B, Kovacs ER, Kulik A, Lambolez B, Shigemoto R, Capogna M",Neurogliaform neurons form a novel inhibitory network in the hippocampal CA1 area,The Journal of Neuroscience,2005,16033887,4011,Price-Capogna-2005-6775-JNeurosci-Fig1A.jpeg,figure,732,1,,,,,,485
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,2000,Spruston-McBain-2007-133-THB-Fig1A.jpeg,figure,3015,,,,,,,571
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,1000,Spruston-McBain-2007-133-THB-Fig7A-DG_GC.jpeg,figure,3036,,,,,,,576
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,6092,Spruston-McBain-2007-133-THB-Fig20A.jpeg,figure,3144,,,,,,,572
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,4069,Spruston-McBain-2007-133-THB-Fig26A.jpeg,figure,3183,,,,,,,574
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1035,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig1A.jpeg,figure,3400,,,,1,,,60
"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1004,Bartos-Kulik-2010-129-HippocampalMicrocircuits-Fig2A-DG_3303_TML.jpeg,figure,3415,1,,,1,,,61
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,1000,Vida--2010-27-HippocampalMicrocircuits-Fig1A.jpeg,figure,3600,,,,,,,640
