Neuron Type,Unique ID,Count,Lower Bound,Upper Bound
Granule ,1000,962200,824941,1099719
Hilar Ectopic Granule ,1041,90,48,132
 Semilunar Granule ,1001,163633,100469,226727
Mossy ,1002,25573,20321,30954
Mossy MOLDEN ,1043,5206,3266,8223
AIPRIM ,1027,8559,5777,11595
 Axo-Axonic ,1010,235,106,899
 DG Basket ,1035,1612,636,2562
 DG Basket CCK+ ,1036,128,0,307
HICAP ,1009,833,0,1815
HIPP ,1013,6006,3912,8288
HIPROM ,1026,10,0,3322
 MOCAP ,1040,9067,2545,47075
 MOLAX ,1005,5421,3710,8009
 MOPP ,1008,377,0,757
 DG Neurogliaform ,1007,599,295,1551
 Outer Molecular Layer ,1006,10,0,1181
 Total Molecular Layer ,1004,7989,4401,13345
Pyramidal,2000,183844,143239,228445
CA3c Pyr,2004,44123,22149,66109
Giant,2003,37905,20093,55842
Granule,2001,360,0,1373
AAC,2028,340,61,748
Horizontal AA,2047,3273,0,6955
Basket,2043,279,130,607
Basket CCK,2044,408,15,1124
Bistratified,2045,483,143,21275
IS Oriens,2021,2117,0,26076
IS Quad,2042,2422,100,5016
Ivy,2046,176,6,446
LMR-Targ.,2005,2614,1565,3669
Lucidum LAX,2017,133,0,396
Lucidum ORAX,2013,10,0,695
Luc-Rad.,2014,127,0,400
Spiny Luc.,2019,581,253,1030
MFA,2036,443,194,1588
MFA Orden,2035,68,0,345
O-LM,2009,2117,0,26076
QuadD-LM,2049,4060,0,12824
Rad,2023,765,0,2645
R-LM,2008,185,0,559
SO-SO,2022,2959,0,5766
Trilaminar,2020,2117,0,26076
CA2 Pyramidal SP,3000,18956,8443,29498
CA2 Basket SP,3006,105,0,265
CA2 Wide-Arbor Basket SP,3007,147,53,469
CA2 Bistratified SP,3003,79,0,239
CA2 SP-SR SP,3008,94,21,508
 Pyramidal,4000,388637,277629,499580
 Cajal-Retzius,4094,1153,362,1945
 Radiatum Giant,4054,9716,3022,112755
 Axo-axonic,4036,762,280,1980
Horizontal AA,4038,494,0,2217
 Back-Projection,4023,1934,0,4735
 Basket,4078,819,158,2414
Horizontal Basket,4039,811,23,2108
 Basket CCK+,4079,963,387,5220
 Bistratified,4080,1962,1065,3584
LMO-O,4022,417,0,2749
LM-R,4021,2042,148,5329
LMR-R,4056,2464,0,11197
O-R,4031,177,65,490
O-Targeting,4020,417,0,2749
R-O,4091,1703,0,7202
RO-O,4093,417,0,2749
 Ivy,4081,1898,0,7932
 LMR,4005,331,188,603
 LMR Projecting,4004,1604,679,5659
 Neurogliaform,4012,2716,1409,4537
 Neurogliaform Projecting,4011,235,0,681
 O-LM,4069,1271,790,1894
 Recurrent O-LM,4089,170,56,1040
 O-LMR,4087,1400,0,5441
 Oriens/Alveus,4055,1480,0,3782
 Oriens-Bistratified,4083,830,535,1276
 Oriens-Bistratified Projecting,4068,465,157,2745
 OR-LM,4066,1777,0,4783
 Perforant-Path Asciated,4006,1129,91,3018
 Perforant-Path Asciated QuadD,4076,53,18,452
 Quadrilaminar,4003,23,0,580
 Radiatum,4028,227,102,571
 R-Receiving Apical-Targeting,4061,311,0,1301
 Schaffer Collateral-Asciated,4015,2404,1224,4200
 Schaffer Collateral-Receiving R-Targeting,4084,204,61,3264
SO-SO,4033,763,390,1686
 Hippocampo-subicular Projecting ENK+,4041,287,0,568
 Trilaminar,4035,977,309,8500
 Radial Trilaminar,4013,290,106,1318
Sub-EC SP,5001,116326,81956,148640
Sub-CA1 SP,5005,11633,6158,31757
LI-II Multipolar-Pyramidal,6094,191782,128569,259172
LI-II Pyramidal-Fan,6005,86816,53811,122281
MEC LII-III Pyramidal-Multiform,6008,5292,189,14638
MEC LII Oblique Pyramidal,6019,1440,837,2485
MEC LII Stellate,6003,10818,5735,17243
LII-III Pyramidal-Tripolar,6082,42864,22725,83768
LEC LIII Multipolar Principal,6025,9320,5170,16687
MEC LIII Multipolar Principal,6031,980,531,1797
LIII Pyramidal,6017,4179,2237,14053
LEC LIII Complex Pyramidal,6007,16910,9574,28988
MEC LIII Complex Pyramidal,6006,7373,4245,11645
MEC LIII Bipolar Complex Pyramidal,6024,1945,1027,3605
LIII Pyramidal-Stellate,6092,55570,37940,74834
LIII Stellate,6018,12233,987,37902
LIII-V Bipolar Pyramidal,6095,15155,8610,53854
LIV-V Pyramidal-Horizontal,6085,56273,40710,84630
LIV-VI Deep Multipolar Principal,6086,94209,63679,146346
MEC LV Multipolar-Pyramidal,6033,2156,999,5886
LV Deep Pyramidal,6021,38021,17973,58603
MEC LV Pyramidal,6002,7101,2986,11216
MEC LV Superficial Pyramidal,6023,4149,2428,6695
MEC LV-VI Pyramidal-Polymorphic,6052,15190,10275,22260
LEC LVI Multipolar-Pyramidal,6078,7866,3905,19590
LII Axo-axonic,6048,13120,307,30946
MEC LII Basket,6096,6560,1510,16408
LII Basket-Multipolar Interneuron,6053,4698,230,11016
LEC LIII Multipolar Interneuron,6049,2404,1053,6117
MEC LIII Multipolar Interneuron,6047,2404,553,5812
MEC LIII Superficial Multipolar Interneuron,6040,2404,0,7722
LIII Pyramidal-Looking Interneuron,6087,4267,1380,11201
MEC LIII Superficial Trilayered Interneuron,6038,2404,0,7685
