ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
900000,1008,SMi MOPP,x18,"""Figs. 2-7. Line drawings of semithin sections in frontal (Figs. 2,3: caudal to rostral, respectively), sagittal (Figs. 4, 5: medial to lateral, respectively) and horizontal (Figs. 6, 7: dorsal to ventral, respectively) planes.""",Fig 2,(x19+x20)/(2*(x10+x16+x18)) = 1,Outer molecular layer interneurons are double the quantity of inner molecular layer interneurons in DG,"Woodson et al., 1989",,,,2925894,0,rats,Wistar,,
900002,1008,SMo MOPP,x19,"""Figs. 2-7. Line drawings of semithin sections in frontal (Figs. 2,3: caudal to rostral, respectively), sagittal (Figs. 4, 5: medial to lateral, respectively) and horizontal (Figs. 6, 7: dorsal to ventral, respectively) planes.""",Fig 2,(x19+x20)/(2*(x10+x16+x18)) = 1,Outer molecular layer interneurons are double the quantity of inner molecular layer interneurons in DG,"Woodson et al., 1989",,,,2925894,0,rats,Wistar,,
900004,1007,SMo DG Neurogliaform,x20,"""Figs. 2-7. Line drawings of semithin sections in frontal (Figs. 2,3: caudal to rostral, respectively), sagittal (Figs. 4, 5: medial to lateral, respectively) and horizontal (Figs. 6, 7: dorsal to ventral, respectively) planes.""",Fig 2,(x19+x20)/(2*(x10+x16+x18)) = 1,Outer molecular layer interneurons are double the quantity of inner molecular layer interneurons in DG,"Woodson et al., 1989",,,,2925894,0,rats,Wistar,,
900006,1036,SMi DG Basket CCK+,x10,"""Figs. 2-7. Line drawings of semithin sections in frontal (Figs. 2,3: caudal to rostral, respectively), sagittal (Figs. 4, 5: medial to lateral, respectively) and horizontal (Figs. 6, 7: dorsal to ventral, respectively) planes.""",Fig 2,(x19+x20)/(2*(x10+x16+x18)) = 1,Outer molecular layer interneurons are double the quantity of inner molecular layer interneurons in DG,"Woodson et al., 1989",,,,2925894,0,rats,Wistar,,
900008,1040,SMi MOCAP,x16,"""Figs. 2-7. Line drawings of semithin sections in frontal (Figs. 2,3: caudal to rostral, respectively), sagittal (Figs. 4, 5: medial to lateral, respectively) and horizontal (Figs. 6, 7: dorsal to ventral, respectively) planes.""",Fig 2,(x19+x20)/(2*(x10+x16+x18)) = 1,Outer molecular layer interneurons are double the quantity of inner molecular layer interneurons in DG,"Woodson et al., 1989",,,,2925894,0,rats,Wistar,,
900010,1008,SMo MOPP,x19,"""In 11 of 17 cells that had axons and dendrites that could be especially well visualized after DAB processing, the axon, but not the dendrite, extended into the subicular and CA1 regions (Fig. 2A-C) <% 1007 %> [6 neurons do not project] <% 1008 %>. In contrast, GC [granule cell] dendrites never extended across the hippocampal fissure to the subiculum or to the CA1 region. To summarize the location of NGFCs [neurogliaform cells] and the extent of their axons and dendrites in horizontal sections, the same 17 cells were examined under the light microscope and their axonal and dendritic arborizations plotted onto a flattened representation of the layers of the dentate gyrus molecular layer (Fig. 2A,B).""","p1480, right mid",x19/x20 = 6/11,SMo MOPP : NGF = 6:11 ,"Armstrong et al., 2011",,,,21452204,0,rats,Wistar,,
900012,1007,SMo DG Neurogliaform,x20,"""In 11 of 17 cells that had axons and dendrites that could be especially well visualized after DAB processing, the axon, but not the dendrite, extended into the subicular and CA1 regions (Fig. 2A-C) <% 1007 %> [6 neurons do not project] <% 1008 %>. In contrast, GC [granule cell] dendrites never extended across the hippocampal fissure to the subiculum or to the CA1 region. To summarize the location of NGFCs [neurogliaform cells] and the extent of their axons and dendrites in horizontal sections, the same 17 cells were examined under the light microscope and their axonal and dendritic arborizations plotted onto a flattened representation of the layers of the dentate gyrus molecular layer (Fig. 2A,B).""","p1480, right mid",x19/x20 = 6/11,SMo MOPP : NGF = 6:11 ,"Armstrong et al., 2011",,,,21452204,0,rats,Wistar,,
900014,1002,H Mossy,x4,"""The cell soma (22 km diameter) was multipolar, and the dendritic
arbor was confined to zone 4 of the hilus. A minority (6 of 41, 15%) of labeled mossy cells extended at least one dendrite through the granule cell layer and into the molecular layer of the dentate gyrus (Fig. 5) <% 1043 %> [35 neurons did not extend dendrites] <% 1002 %>.""","p351, left mid",x4/x5 = 35/6; x4=5.83*x5,Mossy : Mossy Molden = 35:6,"Buckmaster et al., 1992",,,,1284975,0,rats,Sprague-Dawley,,
900016,1043,H Mossy MOLDEN,x5,"""The cell soma (22 km diameter) was multipolar, and the dendritic
arbor was confined to zone 4 of the hilus. A minority (6 of 41, 15%) of labeled mossy cells extended at least one dendrite through the granule cell layer and into the molecular layer of the dentate gyrus (Fig. 5) <% 1043 %> [35 neurons did not extend dendrites] <% 1002 %>.""","p351, left mid",x4/x5 = 35/6; x4=5.83*x5,Mossy : Mossy Molden = 35:6,"Buckmaster et al., 1992",,,,1284975,0,rats,Sprague-Dawley,,
900018,1002,H Mossy,x4,"""Twelve mossy cells from 12 rats were reconstructed. Their somata were large and their proximal dendrites were thick (Figs 1, 2A and 3A). Somata close to the granule cell layer (Fig. 4) tended to be fusiform, whereas those farther from the granule cell layer tended to be multipolar. Thorny excrescences were on proximal dendrites (Fig. 1) and sometimes on the soma. Dendrites extended through the hilus and appeared to avoid entering the CA3 field or gran- ule cell layer. However, three mossy cells each had one dendritic branch that projected through the granule cell layer and into the molecular layer (Fig. 2A) <% 1043 %> [9 neurons did not have projecting dendrites] <% 1002 %>.""","p10, right bot",x4 = 3*x5,Mossy : Mossy Molden = 3:1,"Buckmaster, 2012",,,,22612804,0,rats,Sprague-Dawley,,
