ReferenceID,Cell ID,Location in reference,FTQ_ID,Material Used,Ephys Parameters Extracted,Ephys_Paramaters_ID,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Interpretation Notes,Linking Cell ID,Linking PMID,Linking Quote,Linking Quote Location,Linking_pmid_isbn_page,1
100006771720100,1000,"p1350, Tab1",20100,"""TABLE 1. Membrane properties of granule cells <% 1000 %> in sharp electrode vs. whole-cell recordings""",APampl,06,[Y:<%1000%>:APampl]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).",1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,751
100002771720100,1000,"p1350, Tab1",20100,"""TABLE 1. Membrane properties of granule cells <% 1000 %> in sharp electrode vs. whole-cell recordings""",Rin,02,[Y:<%1000%>:Rin]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,,1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,748
100003771720100,1000,"p1350, Tab1",20100,"""TABLE 1. Membrane properties of granule cells <% 1000 %> in sharp electrode vs. whole-cell recordings""",tau,03,[Y:<%1000%>:tau]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,,1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,749
100001771720100,1000,"p1350, Tab1",20100,"""TABLE 1. Membrane properties of granule cells <% 1000 %> in sharp electrode vs. whole-cell recordings""",Vrest,01,[Y:<%1000%>:Vrest]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero.",1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,747
100004771720100,1000,"p1350, Tab1",20100,"""TABLE 1. Membrane properties of granule cells <% 1000 %> in sharp electrode vs. whole-cell recordings""",Vthresh,04,[Y:<%1000%>:Vthresh]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest).",1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,750
100005771710300,1000,"p1351, Fig3",10300,"""FIG. 3. Adaptation of action potential frequency in whole-cell recordings during 300-ms/200-pA current steps in 2 different GCs [granule cells] <% 1000 %>. Top, recorded 8 min after intraluminal membrane rupture, from a cell without exogenous calcium buffers in the recording electrode. Bottom, from a cell recorded with the calcium chelator BAPTA [1,2-bis (2-aminophenoxy)ethane-N,N,Np,Np-tetraacetic acid] in the electrode solution (11 mM BAPTA- 1 mM CaCl2), 10 min after membrane rupture. Note the lack of spike frequency adaptation and the gradual abolishment of post-spike afterhyperpolarizations.""",fAHP,05,[Y:<%1000%>:fAHP]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,,1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,745
100010771710400,1000,"p1351, Fig4",10400,"""FIG. 4. Comparison of membrane voltage responses to current steps in [dentate] GCs [granule cells] <% 1000 %> recorded with sharp electrode vs. whole-cell patch electrode. Sharp electrode filled with 3 M potassium acetate. The differences in Rn and _m, can be appreciated by visual inspection of the records. Spike threshold is similar for the 2 recording methods.""",sag,10,[Y:<%1000%>:sag]{#1},"Staley KJ, Otis TS, Mody I.",Membrane properties of dentate gyrus granule cells: comparison of sharp microelectrode and whole-cell recordings.,Journal of Neurophysiology,1992,1597717,0,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).",1000,1597717,All necessary morphological evidence is present in this self-same publication.,,,746
100006742910103,1000,"p1520, Fig1C",10103,"""FIG. 1. Paired morphology and physiology of a dentate granule cell <% 1000 %>. ... C: voltage responses to current injections of -50 to +80 pA in 10-pA increments. Responses from -50 to +50 pA are averages of 11–22 trials; responses from +60 to +80 pA are single trials. _0 [time constant] = 31 ms; action potential half-width = 0.67 ms.""",APampl,06,[Y:<%1000%>:APampl]{#1},"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).",1000,9497429,All necessary morphological evidence is present in this self-same publication.,,,463
100004742910103,1000,"p1520, Fig1C",10103,"""FIG. 1. Paired morphology and physiology of a dentate granule cell <% 1000 %>. ... C: voltage responses to current injections of -50 to +80 pA in 10-pA increments. Responses from -50 to +50 pA are averages of 11–22 trials; responses from +60 to +80 pA are single trials. _0 [time constant] = 31 ms; action potential half-width = 0.67 ms.""",Vthresh,04,[Y:<%1000%>:Vthresh]{#1},"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest).",1000,9497429,All necessary morphological evidence is present in this self-same publication.,,,462
100007742920100,1000,"p1521, Tab1",20100,"""Table 1: Physiological properties of neurons <% 1000 %> in the hilus and fascia dentata of the hippocampal formation""",APwidth,07,[Y:<%1000%>:APwidth]{#1},"Lübke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl).",,,,,,
