ReferenceID,Cell ID,Location in reference,FTQ_ID,Material Used,Firing_Pattern,Firing_Pattern_ID,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Interpretation Notes,Linking Cell ID,Linking PMID,Linking Quote,Linking Quote Location,Linking_pmid_isbn_page
100065111710102,1000,"p397, Fig1B",10102,"""FIG. 1. Different discharge properties of two morphologically identified types of dentate gyrus neurons. ... (B) In contrast, a morphologically identified (not shown) granule cell was characterized by a marked attenuation of its firing rate in response to a 200-ms depolarizing pulse. Note the presence of a long-lasting postburst afterhyperpolarization in the granule cell. Scale bars: ... B, vertical bar 15 mV and 1.5 nA, horizontal bar 25 ms.""",ASP.,65,[Y:<%1000%>:ASP.]{#1},"Han ZS, Buhl EH, LÃÂrinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,European Journal of Neuroscience,1993,8261117,0,,1000,8261117,linking is based on authors' claim.,,
100057742910102,1000,"p1520, Fig1B",10102,"""FIG. 1. Paired morphology and physiology of a dentate granule cell <% 1000 %>. ... B: responses to 1-s current injections of +250 and -50 pA. Maximum firing (54 Hz) was observed with the +250-pA current injection. Sag ratio = 1.0 (-50 pA response).""",D.NASP,57,[Y:<%1000%>:D.NASP]{#1},"LÃÂbke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,,1000,9497429,All necessary morphological evidence is present in this self-same publication.,,
100055768710201,1000,"p13758, Fig2A1",10201,"""Figure 2. SGCs have less spike frequency adaptation than GCs. A1, Responses to graded 2 s depolarizing steps. SGCs discharge throughout each suprathreshold step whereas GCs generate the vast majority of their spikes within the first 100 ms.""",TSWB.SLN,55,[Y:<%1000%>:TSWB.SLN]{#1},"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,0,,1000,18077687,All necessary morphological evidence is present in this self-same publication.,,
100055768710204,1000,"p13758, Fig2A1bot",10204,"""Figure 2. SGCs have less spike frequency adaptation than GCs. A1, Responses to graded 2 s depolarizing steps. SGCs discharge throughout each suprathreshold step whereas GCs generate the vast majority of their spikes within the first 100 ms.""",TSWB.SLN,55,[Y:<%1000%>:TSWB.SLN]{#1},"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,0,,1000,18077687,All necessary morphological evidence is present in this self-same publication.,,
100159768710201,1001,"p13758, Fig2A1",10201,"""Figure 2. SGCs have less spike frequency adaptation than GCs. A1, Responses to graded 2 s depolarizing steps. SGCs discharge throughout each suprathreshold step whereas GCs generate the vast majority of their spikes within the first 100 ms.""",TSTUT.NASP,59,[Y:<%1001%>:TSTUT.NASP]{#1},"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,0,,1001,18077687,All necessary morphological evidence is present in this self-same publication.,,
100175768710202,1001,"p13758, Fig2A1",10202,"""Figure 2. SGCs have less spike frequency adaptation than GCs. A1, Responses to graded 2 s depolarizing steps. SGCs discharge throughout each suprathreshold step whereas GCs generate the vast majority of their spikes within the first 100 ms.""",RASP.NASP,75,[Y:<%1001%>:RASP.NASP]{#1},"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,0,,1001,18077687,All necessary morphological evidence is present in this self-same publication.,,
100175768710203,1001,"p13758, Fig2A1",10203,"""Figure 2. SGCs have less spike frequency adaptation than GCs. A1, Responses to graded 2 s depolarizing steps. SGCs discharge throughout each suprathreshold step whereas GCs generate the vast majority of their spikes within the first 100 ms.""",RASP.NASP,75,[Y:<%1001%>:RASP.NASP]{#1},"Williams PA, Larimer P, Gao Y, Strowbridge BW.",Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,Journal of Neuroscience,2007,18077687,0,,1001,18077687,All necessary morphological evidence is present in this self-same publication.,,
100266742910502,1002,"p1525, Fig5B",10502,"""FIG. 5. Paired morphology and physiology of a hilar mossy cell. ... B: responses to 1-s current injections of +1,000 and -300 pA. Maximum firing (44 Hz) was observed with the +1,000-pA current injection. Sag ratio = 0.75 (-300 pA response).""",D.ASP.,66,[Y:<%1002%>:D.ASP.]{#1},"LÃÂbke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,,1002,9497429,All necessary morphological evidence is present in this self-same publication.,,
100257742910503,1002,"p1525, Fig5C",10503,"""FIG. 5. Paired morphology and physiology of a hilar mossy cell. ... C: voltage responses to current injections of -150 to +150 pA in 50-pA increments and -40 to +40 pA in 10-pA increments. All responses, except the action potentials, are averages of 5-15 trials. tau_0 = 49 ms; action potential half-width = 0.89 ms.""",D.NASP,57,[Y:<%1002%>:D.NASP]{#1},"LÃÂbke J, Frotscher M, Spruston N.",Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,Journal of Neuroscience,1998,9497429,0,,1002,9497429,All necessary morphological evidence is present in this self-same publication.,,
100465171610701,1004,"p4000, Fig7A1",10701,"""Figure 7. Patterns of spike frequency adaptation in interneurons. A, B, Responses of a normally adapting TML [total molecular layer] cell (A) and a nonadapting GCL [granule layer cell] cell (B) to a series of 700 msec depolarizing current pulses are shown. The magnitude of the current injection (in nA) is indicated to the left of each trace. Note that with small-current injections SFA [spike frequency adaptation] is apparent in the normally adapting cell, whereas in the nonadapting cell the rate of spike firing actually increases.""",ASP.,65,[Y:<%1004%>:ASP.]{#1},"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity,Journal of Neuroscience,1997,9151716,0,,1004,9151716,All necessary morphological evidence is present in this self-same publication.,,
