1.0 \alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subregion->,Dentate gyrus,Dentate gyrus,Dentate gyrus,Dentate gyrus,CA3,CA3,CA3,CA3,CA3,CA2,CA2,CA2,CA2,CA1,CA1,CA1,CA1,Subiculum,Subiculum,Subiculum,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fascia dentata,Fascia dentata,Fascia dentata,,Regio inferior,Regio inferior,Regio inferior,Regio inferior,Regio inferior,,,,,Regio superior,Regio superior,Regio superior,Regio superior,,,,,,,,,,,
99,N = v1.0 Rank 1-3 active types,,,,,,,51,P = approved v2.0 Rank 4-5 active types,,107,X = v1.0 on-hold types,,,,124,v1.x active types,,,,,,,,,,,,,Pseudonym Layer->,,,principal cell layer,polymorphic layer,,,,principal cell layer,,,,principal cell layer,,,,principal cell layer,,,principal cell layer,,molecular layer,,,lamina dessicans,deep layer,deep layer,,
23,M = v1.0 Rank 4-5 active types,,,,,,,0,O = approved v2.0 Rank 4-5 active types with approved v2.0 active addenda,,38,Y = v2.0 approved on-hold types,,,,56,v2.0 (un)approved active types,,,,,,,,,,,,,English Layer->,molecular layer outer two-thirds,molecular layer inner one-third,granular layer,hilar layer,lacunosum-moleculare layer,radiatum layer,lucidum layer,pyramidal layer,oriens layer,lacunosum-moleculare layer,radiatum layer,pyramidal layer,oriens layer,lacunosum-moleculare layer,radiatum layer,pyramidal layer,oriens layer,molecular layer,pyramidal layer,polymorphic layer,,,,,,,,
0,B = v1.0 Rank 1-3 active types with approved v1.0 active addenda,,,,,,,3,V = unapproved v2.0 Rank 4-5 active types,,39,S = v2.0 unapproved on-hold types,,,,184,v1.0/2.0 (un)approved on-hold types,,,,,,,,,,,,,,DG,DG,DG,DG,CA3,CA3,CA3,CA3,CA3,CA2,CA2,CA2,CA2,CA1,CA1,CA1,CA1,Sub,Sub,Sub,EC,EC,EC,EC,EC,EC,,
0,C = v1.0 Rank 4-5 active types with approved v1.0 active addenda,,,,,,,1,U = unapproved v2.0 Rank 4-5 active types that were approved v2.0 on-hold types,,,,,,,364,Total neuron types + 1 addendum,,,,,,,,,,,,,Latin Layer->,stratum moleculare outer two-thirds,stratum moleculare inner one-third,stratum granulosum,hilus,stratum lacunosum-moleculare,stratum radiatum,stratum lucidum,stratum pyramidale,stratum oriens-alveus,stratum lacunosum-moleculare,stratum radiatum,stratum pyramidale,stratum oriens-alveus,stratum lacunosum-moleculare,stratum radiatum,stratum pyramidale,stratum oriens-alveus,stratum moleculare,stratum pyramidale,stratum multiforme,layer I,layer II,layer III,layer IV,layer V,layer VI,,
0,A = v1.0 Rank 1-3 active types with approved v2.0 active addenda,,,,,,,1,W = unapproved v2.0 Rank 4-5 active types that were approved v1.0 on-hold types,,,,,,,,,,,,,,,,,,,,,Layer Abbreviation->,SMo,SMi,SG,H,SLM,SR,SL,SP,SO,SLM,SR,SP,SO,SLM,SR,SP,SO,SM,SP,PL,I,II,III,IV,V,VI,,
0,D = v1.0 Rank 1-3 active types that have been replaced by v1.0 Rank 1-3 active types,,,,,,,,,,0,T = re-interpreted types that will disappear after v2.0 merger approvals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,K = v1.0 Rank 4-5 active types that will disappear after v2.0 merger approvals,,,,,,,,,,0,L = unapproved v2.0 on-hold types that will disappear after v2.0 merger approvals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,R = v1.9 in vivo added Rank 1-3 active types,,,,,,,1,Z = approved new parcel CA2:SL -> all CA2 types to be updated,,0,J = rejected proposed v2.0 active type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
