ReferenceID,CellID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Area,Soma_state,Soma,Species,Strain,Type,Gender,Age,Slice,Recording,Labeled,Markers,Input,Output,Sections
800000,5001,,"""Fig. 7. A,B: Neurolucida reconstructions of superficial <% 5001 %> and deep subicular cells. Somata and dendrites are shown in black. Dendritic spines are not drawn. Axons are shown in gray. Axonal varicosities and axonal extensions are not drawn. Local collaterals tended to be longer in the cell layer for superficially located cells. Deep cells tended to have axon collaterals that ascended close to the primary dendrite. All cells shown had axon collaterals that reached into the deep white matter, and in some cells, there were collaterals that crossed obliquely back across the cell layer toward CA1 or presubiculum. For this reason, all cells were considered to be projection cells. CA1 is to the left and presubiculum to the right in all figures. Cell in A1, A3, and B3 were reconstructed from horizontal slices. ... Scale bar = 500 [micro]m in B3 (applies to all sets A,B).""","p499, Fig7A1",,"Harris E, Stewart M",Intrinsic connectivity of the rat subiculum: I. Dendritic morphology and patterns of axonal arborization by pyramidal neurons,J Comp. Neurol,2001,11406828,0,Subiculum,Erased,SM/SP,Rat,SD,Wildtype,Male,120-450g,Horizontal,Intracellular,Neurobiotin 2%,,,,40-50 Thick
800002,5001,,"""Fig. 7. A,B: Neurolucida reconstructions of superficial and deep <% 5001 %> subicular cells. Somata and dendrites are shown in black. Dendritic spines are not drawn. Axons are shown in gray. Axonal varicosities and axonal extensions are not drawn. Local collaterals tended to be longer in the cell layer for superficially located cells. Deep cells tended to have axon collaterals that ascended close to the primary dendrite. All cells shown had axon collaterals that reached into the deep white matter, and in some cells, there were collaterals that crossed obliquely back across the cell layer toward CA1 or presubiculum. For this reason, all cells were considered to be projection cells. CA1 is to the left and presubiculum to the right in all figures. Cells in A1, A3, and B3 were reconstructed from horizontal slices. ... Scale bar = 500 [micro]m in B3 (applies to all sets A,B).""","p499, Fig7B3",,"Harris E, Stewart M",Intrinsic connectivity of the rat subiculum: I. Dendritic morphology and patterns of axonal arborization by pyramidal neurons,J Comp. Neurol,2001,11406828,0,Subiculum,Present,SP,Rat,SD,Wildtype,Male,120-450g,Horizontal,Intracellular,Neurobiotin 2%,,,,40-50 Thick
800004,5005,,"""Fig. 2. Neurolucida reconstruction of a neurobiotin-labeled subicular pyramidal neuron to illustrate axon collaterals that reach the apical dendrites of CA1. Regular spiking neuron in rat subiculum has an axon collateral that ascends obliquely into the distal apical dendritic region of CA1 where it appears to have several potential synaptic contact points, evidenced by axonal extensions. The putative terminals at about the boundary between the stratum radiatum and the stratum lacunosum/moleculare. Another collateral runs just beneath the cell layer and has a branch that ascends through the cell layer in the transitional region between CA1 and subiculum. (A) Neurolucida reconstruction. The cell layer is outlined by a dashed line. A dashed line segment in CA1 marks the approximate boundary between stratum radiatum and stratum lacunosum/moleculare. ... Scale bars: (A) 500 [micro]m;""","p45, Fig2A",,"Harris E, Stewart M ","Propagation of synchronous epilepti-

form events from subiculum backward into area CA1 of rat
brain slices.",Brain Res,2001,11259758,0,Subiculum,Erased,SP,Rat,SD,Wildtype,Male,"200-350g, 40-80PD",Horizontal,Intracellular,Neurobiotin 2%,,,,40-50 Thick
800006,5002,,"""Fig. 4. Distribution and examples of chandelier cells in the subicular complex. A. Schematic representation of the rat subicular complex illustrating the location and distribution of several chandelier cells (1-7). ... Scale bars: A = 400 [micro]m;""","p158, Fig4A_4",,"Soriano E,  A.  Martinez,  I.  Farinas,  and  M.  Frotscher, ",Chandelier cells in the hippocampal formation of the rat: the entorhinal area and subicular complex.,The Journal of Comparative Neurology,1993,8276990,0,Subiculum,Erased,SM,Rat,SD,Wildtype,NS,11-12 week,Transverse,,Golgi,,,,
800008,5002,,"""Fig. 4. Distribution and examples of chandelier cells in the subicular complex. A. Schematic representation of the rat subicular complex illustrating the location and distribution of several chandelier cells (1-7). ... Scale bars: A = 400 [micro]m;""","p158, Fig4A_5",,"Soriano E,  A.  Martinez,  I.  Farinas,  and  M.  Frotscher, ",Chandelier cells in the hippocampal formation of the rat: the entorhinal area and subicular complex.,The Journal of Comparative Neurology,1993,8276990,0,Subiculum,Erased,SM,Rat,SD,Wildtype,NS,11-12 week,Transverse,,Golgi,,,,
800010,5002,,"""Fig. 4. Distribution and examples of chandelier cells in the subicular complex. A. Schematic representation of the rat subicular complex illustrating the location and distribution of several chandelier cells (1-7). ... Scale bars: A = 400 [micro]m;""","p158, Fig4A_6",,"Soriano E,  A.  Martinez,  I.  Farinas,  and  M.  Frotscher, ",Chandelier cells in the hippocampal formation of the rat: the entorhinal area and subicular complex.,The Journal of Comparative Neurology,1993,8276990,0,Subiculum,Erased,SM,Rat,SD,Wildtype,NS,11-12 week,Transverse,,Golgi,,,,
800012,3000,,"""Fig. 4. Camera lucida drawing of a CA2 neuron. Note that while the size and general dendritic characteristics of this neurons are similar to those in CA3, there are no thorny excrescences on the proximal apical dendrites. As with the CA3 neurons, most of the dendritic side branches in stratum radiatum are located in the deeper four fifths of the layer. The projection zone is decreasing in thickness as it approaches CA1. The axon of this neuron is indicated with an arrowhead. Two basal dendrites cut at the surface of the slice are indicated by asterisks. Dashed lines in the pyramidal cell layer indicate the approximate boundaries of the CA2 field.""","p27, Fig4",,"Ishizuka N, Cowan WM, Amaral DG",A quantitative analysis of the dendritic organization of pyramidal cells in the rat hippocampus,Journal of Comparative Neurology,1995,8576427,0,CA2,Erased,SP,RAT,SD,WILDTYPE,FEMALE,33-57PD,HORIZONTAL,INTRACELLULAR,HRP 2%,,,,
800014,3000,,"""Figure 2. Morphological features of pyramidal cells recorded and filled in the CA1 and CA2 regions of the adult rat hippocampus. A, B, Neurolucida reconstructions of CA2 pyramidal cells. Like those in CA1, the dendritic arbors of CA2 pyramidal cells (black) extended through SO and SLM. Their axons (gray) arborized either exclusively in SO (A) or in SO and SR of the CA2 and CA3 regions (B).""","p7331, Fig2A",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
800016,3000,,"""Figure 2. Morphological features of pyramidal cells recorded and filled in the CA1 and CA2 regions of the adult rat hippocampus. A, B, Neurolucida reconstructions of CA2 pyramidal cells. Like those in CA1, the dendritic arbors of CA2 pyramidal cells (black) extended through SO and SLM. Their axons (gray) arborized either exclusively in SO (A) or in SO and SR of the CA2 and CA3 regions (B).""","p7331, Fig2B",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
800018,3006,,"""Figure 3. Dendritic and axonal arbors of basket cells recorded and filled in the CA1 and CA2 regions. ... Ba, Reconstruction using a drawing tube (1000x) of a CA2 basket cell that was confined to the CA2 region. The dendrites are in black, and the axon is in red.""","p7332, Fig3Ba",,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,0,CA2,Erased,SP,RAT,"SD, WISTAR",WILDTYPE,MALE,90-200G,CORONAL,INTRACELLULAR,BIOCYTIN 2%,,,,60 THICK
