Source_ID,Source_Name,Source_E/I,Target_ID,Target_Name,Target_E/I,Type,Layers,Neurite,Neurite ID,Potential synapses,Number of contacts,Probability,Connection?,ES,ES PMID,RefIDs,Notes
1000,DG Granule (+)2201p,E,1041,DG Hilar Ectopic Granule (+)2203p,E,L,DG:H,DG:All:Both,3,0.011624063,2.08,0.005576139,,,,,
1000,DG Granule (+)2201p,E,1041,DG Hilar Ectopic Granule (+)2203p,E,L,DG:H,DG:H:Both,15,0.011624063,2.08,0.005576139,,,,,
1000,DG Granule (+)2201p,E,1002,DG Mossy (+)0103,E,L,DG:H,DG:All:Both,3,0.022507575,2.90,0.007770709,1,1,7884451; 18077687;,1001042; 1001045; 1001203; 1001300; 1001400; 1001403; 1001721; 1001727; 1001730; 1001778; 1001969; 1002324; 1002506; 1002739; 1002821; 1003093; 1003102; 1003633; 1004006; 2000003; 2000077;,
1000,DG Granule (+)2201p,E,1002,DG Mossy (+)0103,E,L,DG:H,DG:H:Both,15,0.022507575,2.90,0.007770709,,,,,
1000,DG Granule (+)2201p,E,1043,DG Mossy MOLDEN (+)2323,E,L,DG:H,DG:All:Both,3,0.024698833,3.11,0.007931004,,,,,
1000,DG Granule (+)2201p,E,1043,DG Mossy MOLDEN (+)2323,E,L,DG:H,DG:H:Both,15,0.024698833,3.11,0.007931004,,,,,
1000,DG Granule (+)2201p,E,1027,DG AIPRIM (-)2333,I,L,DG:H,DG:All:Both,3,0.014863241,2.79,0.005330967,,,,,
1000,DG Granule (+)2201p,E,1027,DG AIPRIM (-)2333,I,L,DG:H,DG:H:Both,15,0.014863241,2.79,0.005330967,,,,,
1000,DG Granule (+)2201p,E,1010,DG Axo-Axonic (-)2233,I,L,DG:H,DG:All:Both,3,0.009089506,2.33,0.003907181,,,,,
1000,DG Granule (+)2201p,E,1010,DG Axo-Axonic (-)2233,I,L,DG:H,DG:H:Both,15,0.009089514,2.33,0.003907185,,,,,
1000,DG Granule (+)2201p,E,1035,DG Basket (-)2232,I,L,DG:H,DG:All:Both,3,0.00726644,2.10,0.003459956,1,1,9208867; 25252134;,1001730; 1001957; 1002318; 1003777; 1000366; 2000011; 2000086;,
1000,DG Granule (+)2201p,E,1035,DG Basket (-)2232,I,L,DG:H,DG:H:Both,15,0.00726644,2.10,0.003459956,,,,,
1000,DG Granule (+)2201p,E,1036,DG Basket CCK+ (-)2232,I,L,DG:H,DG:All:Both,3,0.01918663,3.67,0.005224639,1,1,9208867;,1005010,
1000,DG Granule (+)2201p,E,1036,DG Basket CCK+ (-)2232,I,L,DG:H,DG:H:Both,15,0.01918663,3.67,0.005224639,,,,,
1000,DG Granule (+)2201p,E,1009,DG HICAP (-)2322,I,L,DG:H,DG:All:Both,3,0.0063798,1.91,0.003335366,,,,,only H
1000,DG Granule (+)2201p,E,1009,DG HICAP (-)2322,I,L,DG:H,DG:H:Both,15,0.0063798,1.91,0.003335366,1,-1,,1001303; 1001403;,only H
1000,DG Granule (+)2201p,E,1013,DG HIPP (-)1002,I,L,DG:H,DG:All:Both,3,0.016908697,2.84,0.005945747,1,,,1000924; 1001303; 1001403; 1002330; 1003789; 2000063;,
1000,DG Granule (+)2201p,E,1013,DG HIPP (-)1002,I,L,DG:H,DG:H:Both,15,0.016908697,2.84,0.005945747,,,,,
1000,DG Granule (+)2201p,E,1026,DG HIPROM (-)1333p,I,L,DG:H,DG:All:Both,3,0.016618168,3.09,0.005372058,,,,,
1000,DG Granule (+)2201p,E,1026,DG HIPROM (-)1333p,I,L,DG:H,DG:H:Both,15,0.016618168,3.09,0.005372058,,,,,
