Hippocampome Type,Unique ID,Supertype ID,Hippocampome Supertype,Cell Counts,Theta Phase,Theta Error,Theta Error Type,Theta N,MVL,MVL Error,MVL Error Type,MVL N,MVL category,Peak correction,LFP site,Shift to CA1:SP,Phase-CA1 (peak 0 deg),Phase-CA1 category,Gamma Phase,Gamma Error,Gamma Error Type,Gamma N,Gamma Peak,Epsilon Phase,Epsilon Error,Epsilon Error Type,Epsilon N,Epsilon Peak,Ripple Phase,Ripple Error,Ripple Error Type,Ripple N,Ripple Peak,SWR Ratio,SWR Ratio Error,SWR Ratio Error Type,SWR Ratio N,SWR Ratio category,Run/Stop Ratio,DS Ratio,DS Ratio Error,DS Ratio Error Type,DS Ratio N,Firing Rate,Firing Rate Error,Firing Rate Error Type,Firing Rate N,Firing Rate Rank,Firing Rate (non-baseline),Firing Rate Error (non-baseline),Firing Rate Error Type (non-baseline),Firing Rate N (non-baseline),Firing Rate Rank (non-baseline),Vrest (mV),Vrest Error (mV),Vrest Error Type,Vrest N,Tau (ms),Tau Error (ms),Tau Error Type,Tau N,APthresh (mV),APthresh Error (mV),APthresh Error Type,APthresh N,fAHP (mV),fAHP Error (mV),fAHP Error Type,fAHP N,APpeak-trough (ms),APpeak-trough Error (ms),APpeak-trough Error Type,APpeak-trough N,Authors,Title,Journal/Book,Year,PMID_or_ISBN,pmid_isbn_page,Figure/Table,Recording assignments,Recording_method,Species,Strain,Gender,Age,Age_type,Behavioral status,Data Mining Method,Comments,Metadata code,Metadata rank,Reference ID,
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,-149.639629,53.6907086,SD,571,0.719013012,0.184734721,SD,571,directed,-360,DG:SM/H,-170,40.36037103,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2C (theta mean)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1000101282410203""",1000101282410203
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SM/H,-170,,,150.25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2B (gamma peak)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1000105282410202""",1000105282410202
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16576464,0.25657046,SD,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR wake)@,optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,freely moving,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1000111282410201""",1000111282410201
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53245664,0.4636802,SD,NA,10,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR non-REM@),optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,sleep,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1000112282410201""",1000112282410201
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SM/H,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2809123,0.30293665,SD,NA,9,,,,,,,,,,,,,,,,,,,,,"Senzai Y, Buzsáki G",Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells,Neuron,2017,28132824,0,Fig 2A (FR REM@),optotagging of single cell assigned to 1 Hippocampome type,optotagging,mice,C57BL/6J,unknown sex,"24-44 g, 3-11 m old",adult,sleep,PlotDigitizer,"assume authors' ability to identify principal cells; theta peak angle not reported but previous Buzsaki work such as Mizuseki et al, 2011, uses 0 degrees",mOAU1,8,"""1000113282410201""",1000113282410201
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,284,21,SEM,3,,,,,,0,DG:SG,-160,124,trough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pernía-Andrade AJ, Jonas P",Theta-gamma-modulated synaptic currents in hippocampal granule cells in vivo define a mechanism for network oscillations,Neuron,2014,24333053,0,Tab 1 (theta mean)@,1 whole-cell patch-clamp recorded cell assigned to 1 Hippocampome type,whole-cell patch clamp,rats,Wistar,male and female,28±1 d old,young adult,head-fixed awake,read from table,assume authors' ability to identify principal cells,rWYB2,5,"""1000101305320100""",1000101305320100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SG,-160,,,340,21,SEM,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pernía-Andrade AJ, Jonas P",Theta-gamma-modulated synaptic currents in hippocampal granule cells in vivo define a mechanism for network oscillations,Neuron,2014,24333053,0,Tab 1 (gamma mean)@,1 whole-cell patch-clamp recorded cell assigned to 1 Hippocampome type,whole-cell patch clamp,rats,Wistar,male and female,28±1 d old,young adult,head-fixed awake,read from table,assume authors' ability to identify principal cells,rWYB2,5,"""1000105305320100""",1000105305320100
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,,,,,,,,,,0,DG:SG,-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40097955,0.13286421,SEM,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Pernía-Andrade AJ, Jonas P",Theta-gamma-modulated synaptic currents in hippocampal granule cells in vivo define a mechanism for network oscillations,Neuron,2014,24333053,0,Fig 2F (FR awake)@,1 whole-cell patch-clamp recorded cell assigned to 1 Hippocampome type,whole-cell patch clamp,rats,Wistar,male and female,28±1 d old,young adult,head-fixed awake,read from table,assume authors' ability to identify principal cells,rWYB2,5,"""1000111305310206""",1000111305310206
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,75.10746909,,,,0.197623359,,,,uniform,0,EC:III,0,75.10746909,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mizuseki K, Sirota A, Pastalkova E, Buzsáki G",Theta oscillations provide temporal windows for local circuit computation in the entorhinal-hippocampal loop,Neuron,2009,19874793,0,Fig 3C line (theta mean without error)@,tetrode recording of 3 cells assigned to 1 Hippocampome type,tetrode,rats,Long Evans,male,250-400 g,adult,freely moving,PlotDigitizer,assume authors' ability to identify principal cells,rTAM1,17,"""1000101479310303""",1000101479310303
DG (e)2201p Granule,1000,S010101,Glutamatergic GC:Granule:DG,,115.6666667,39.06831623,SD,3,,,,,,0,CA1:SP,0,115.6666667,trough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,PLoS Biology,2021,33956790,e3001213,Tab 2 (theta mean)@,sharp pipette recording of single cell assigned to 1 Hipppcampome type,sharp pipette,rats,Wistar,male and female,adult,adult,urethane,live recording,,rPAB4,13,"""1000101679020200""",1000101679020200
