reference_id,Reference ID,Unique ID,Location in reference,FTQ ID,Material Used,Phase parameter,Phase parameter ID,Authors,Title,Journal,Year,PMID,pmid_isbn_page
"""6003111983110701""",6003111983110701,6003,"p781, Fig7A (L2)",10701,"""Figure 7. Response Properties across Layers and Patches (A) Average firing rates for all recorded cells in layer 2 <% 6003 %> (L2, n = 9; one neuron was silent), layer 3 (L3, n = 11), layer 5-6 (L5-6, n = 11; five neurons were silent), and large patches (LP, n = 14). Error bars indicate standard error. Average firing rates differed significantly between L5-6 and every other group.""",firing rate baseline,111,"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Förste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,773
"""6003101983110706""",6003101983110706,6003,"p781, Fig7F red (mean)",10706,"""Figure 7. Response Properties across Layers and Patches ... (F) Polar plots of layer 2 <% 6003 %> (red), layer 3 (green), and large patch cells (blue) representing both the preferred phase (peak = 0[deg], 360[deg]; trough = 180[deg]) and the modulation strength (average vector, proportional to the distance from the center) for each single neuron.""",theta,101,"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Förste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,773
"""6017111983110701""",6017111983110701,6017,"p781, Fig7A (L2)",10701,"""Figure 7. Response Properties across Layers and Patches (A) Average firing rates for all recorded cells in layer 2 (L2, n = 9; one neuron was silent), layer 3 <% 6017 %> (L3, n = 11), layer 5-6 (L5-6, n = 11; five neurons were silent), and large patches (LP, n = 14). Error bars indicate standard error. Average firing rates differed significantly between L5-6 and every other group.""",firing rate baseline,111,"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Förste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,773
"""6017101983110706""",6017101983110706,6017,"p781, Fig7F green (mean)",10706,"""Figure 7. Response Properties across Layers and Patches ... (F) Polar plots of layer 2 (red), layer 3 <% 6017 %> (green), and large patch cells (blue) representing both the preferred phase (peak = 0[deg], 360[deg]; trough = 180[deg]) and the modulation strength (average vector, proportional to the distance from the center) for each single neuron.""",theta,101,"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Förste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,773
"""4000101187910103""",4000101187910103,4000,"p3, Fig1c",10103,"""Fig. 1 Bimodal distribution of theta phase-locked firing across CA1 sublayers. ... c Theta phase firing histogram from single cells <% 4000 %> recorded in awake head-fixed mice, ranked according to their preferred phase (n = 12 cells). Individual (gray) and mean (black) theta filtered LFP signals at top are z-scored (Z). The population histogram at bottom represents the distribution of mean preferred phases from individual cells.""",theta,101,"Andrea Navas-Olive, Manuel Valero, Teresa Jurado-Parras, Adan de Salas-Quiroga, Robert G Averkin, Giuditta Gambino, Elena Cid , Liset M de la Prida",Multimodal determinants of phase-locked dynamics across deep-superficial hippocampal sublayers during theta oscillations,Nature Communications,2020,32371879,2217
"""4098101187910109""",4098101187910109,4098,"p3, Fig1i_Calb1+",10109,"""Fig. 1 Bimodal distribution of theta phase-locked firing across CA1 sublayers. ... i Phase-locked firing histograms from Calbindin+ superficial <% 4098 %> (n = 7 units from 3 mice) and Thy1+ deep opto-tagged units (n = 14 units from 2 mice; statistically different Watson-Williams test, F(1,20) = 17.7, p = 0.00048. Note that bimodal distribution of preferred theta phases can be explained by different cell-type contribution. """,theta,101,"Andrea Navas-Olive, Manuel Valero, Teresa Jurado-Parras, Adan de Salas-Quiroga, Robert G Averkin, Giuditta Gambino, Elena Cid , Liset M de la Prida",Multimodal determinants of phase-locked dynamics across deep-superficial hippocampal sublayers during theta oscillations,Nature Communications,2020,32371879,2217
"""4099101187910110""",4099101187910110,4099,"p3, Fig1i_Thy1+",10110,"""Fig. 1 Bimodal distribution of theta phase-locked firing across CA1 sublayers. ... i Phase-locked firing histograms from Calbindin+ superficial <% 4098 %> (n = 7 units from 3 mice) and Thy1+ deep opto-tagged units (n = 14 units from 2 mice; statistically different Watson-Williams test, F(1,20) = 17.7, p = 0.00048. Note that bimodal distribution of preferred theta phases can be explained by different cell-type contribution. """,theta,101,"Andrea Navas-Olive, Manuel Valero, Teresa Jurado-Parras, Adan de Salas-Quiroga, Robert G Averkin, Giuditta Gambino, Elena Cid , Liset M de la Prida",Multimodal determinants of phase-locked dynamics across deep-superficial hippocampal sublayers during theta oscillations,Nature Communications,2020,32371879,2217
"""2000102088710305""",2000102088710305,2000,"p1599, Fig 3B_sCA3b_RUN",10305,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000103088710305""",2000103088710305,2000,"p1599, Fig 3B_sCA3b_REM",10305,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta REM,103,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
"""2000102088710306""",2000102088710306,2000,"p1599, Fig 3B_dCA3b_RUN",10306,"""FIGURE 3. Theta phase modulation of hippocampal pyramidal cells. ... B. Distribution of preferred theta phases for all significantly modulated units (P<0.01, Rayleigh test) in all regions during RUN and REM.""",theta run,102,"Azahara Oliva, Antonio Fernández-Ruiz, György Buzsáki, Antal Berényi",Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,Hippocampus,2016,27650887,1593
