Parent,Concept,Term,Resource Rank,Resource,Portal,Repository,Unique ID,Definition Link,Definition,protein_gene,human_rat,control
term_hippocampome_molecular_marker,5HT-3,5HT-3,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, P35563",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:P35563,"5-hydroxytryptamine receptor 3A; Symbol:Htr3a; Type:protein; Taxon:Rattus norvegicus; Synonyms:5HT3A_RAT,5ht3,Htr3",,,
term_hippocampome_evidence,acetylcholine receptor,acetylcholine receptor,1,Neurolex,NIF,Neurolex,sao1700719022,http://neurolex.org/wiki/Category:Acetylcholine_Receptor,"Cell surface proteins that bind acetylcholine with high affinity and trigger intracellular changes influencing the behavior of cells. Cholinergic receptors are divided into two major classes, muscarinic and nicotinic, based originally on their affinity for nicotine and muscarine. Each group is further subdivided based on pharmacology, location, mode of action, and/or molecular biology (MSH).",,,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,BIOPORTAL,BIOPORTAL,Chemical entities of biological interest,CHEBI:15355,http://bioportal.bioontology.org/visualize/45026/?conceptid=CHEBI%3A15355,"Actylcholine is an ester of acetic acid and choline, which acts as a neurotransmitter",-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,BIOPORTAL,BIOPORTAL,Logical Observation Identifier Names and Codes,LP15314-5,http://bioportal.bioontology.org/visualize/44774/?conceptid=LP15314-5,,-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,BIOPORTAL,BIOPORTAL,Molecule Role,IMR:0100111,http://bioportal.bioontology.org/visualize/15764/?conceptid=IMR%3A0100111,,-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,BIOPORTAL,BIOPORTAL,NCI Thesaurus,C77840,http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C77840," A chemical made by some types of nerve cells. It is used to send messages to other cells, including other nerve cells, muscle cells, and gland cells. It is released from the nerve ending and carries signals to cells on the other side of a synapse (space between nerve cells and other cells). Acetylcholine helps control memory and the action of certain muscles. It is a type of neurotransmitter.",-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,CRISP,BIOPORTAL,CRISP Thesaurus,0663-0733,http://bioportal.bioontology.org/visualize/44432/?conceptid=0663-0733,"""neurotransmitter; in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system""",-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,MeSH,NCBI,MeSH,D000109,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=106&field=all&HM=&II=&PA=&form=&input=,"A neurotransmitter found at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system",-,H - R,
term_petilla_molecular,ACh,Neurotransmitters - ACh,1,Neurolex,NIF,Neurolex,sao185580330,http://neurolex.org/wiki/Category:Acetylcholine,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications (MSH).",-,H - R,
term_hippocampome_molecular_marker,AChE,AChE,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, P37136",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:P37136,Acetylcholinesterase; Symbol:Ache; Type:protein; Taxon:Rattus norvegicus; Synonyms:ACES_RAT,,,
term_hippocampome_evidence,actin binding protein,actin binding protein,1,Neurolex,NIF,Neurolex,sao1785445428,http://neurolex.org/wiki/Category:Actin_Binding_Protein,"Diverse family of cytoskeletal proteins which bind actin, thereby stabilizing or destabilizing microfilaments, anchoring them to other cell structure, or subserving intracellular translocation and motility (CSP).",,,
term_hippocampome_evidence,action potential,action potential,1,Neurolex,NIF,Neurolex,PATO_0001463,http://neurolex.org/wiki/Category:Action_potential,"A large, brief, all-or-nothing, regenerative electrical potential, that propagates along the axon, muscle fiber, or some dendrites. Action potentials are usually generated at the axon hillock and propagate uni-directionally down the axon. Adapted from Nicholls, Martin and Wallace 3rd edition.",,,
term_hippocampome_evidence,action potential,spike,2,Merriam-Webster Medical,Merriam-Webster,Medical,spike,http://www.merriam-webster.com/medical/spike,the sharp increase and fall in the recorded action potential of a stimulated nerve cell that during the increasing phase corresponds to an inrush of sodium ions to the interior of the cell and during the decreasing phase corresponds to a slowing of the influx of sodium ions and to an increasing efflux of potassium ions to the exterior,,,
