id,position,position_HC_standard,Ranks,v2.0,status,full_name,intermediate_name,short_name,CARLsim_name,short_name_gaa_201411131347,Diff,compact_name,abbreviation,supertype,type_subtype,explanatory_notes,interneuron_specific_flag,pre_subregion_modifier,subregion,post_subregion_modifier,include_subregion,excit_inhib,axon_dendrite_pattern,format,p,soma_pattern,projection_pattern,EC_layer,pre-modifiers,core,post-modifiers,pre-modifiers_plus_core_plus_post-modifiers,pre-modifiers_plus_core_plus_post-modifiers_alternate,short_name_alternate
1000,1000,1000,1,,active,DG (e)2201p-CA3_00110-CA2_0010 Granule,DG (e)2201p (00S0) Granule,Granule,DG Granule,Granule,,Granule,GC,S010101:Glutamatergic GC:Granule:DG,type,This is a canonical principal cell of the main hippocampal circuit.,0,,DG,,0,e,2201,0000,p,00S0,CA3_00110-CA2_0010,,,Granule,,Granule,Granule,Granule (e)
1047,1001,1005,5,1,active,DG (e)2203p-CA3_00100 Adult-Born Immature Granule*,DG (e)2203p (00S0) Adult-Born Immature Granule,Adult-Born Immature Granule*,DG Adult-Born Immature Granule,ABI Granule,1,Adult-Born Immature Granule,ABI-GC,S010101:Glutamatergic GC:Granule:DG,type,This is the most descriptive name.,0,,DG,,0,e,2203,0000,p,00S0,CA3_00100,,Adult-Born Immature,Granule,,Adult-Born Immature Granule,Granule Adult-Born Immature,Granule Adult-Born Immature (e)
1041,1002,1006,5,,active,DG (e)2203p-CA3_00100 Hilar Ectopic Granule,DG (e)2203p (000S) Hilar Ectopic Granule,Hilar Ectopic Granule,DG Hilar Ectopic Granule,Hilar Ectopic Granule,,Hilar Ectopic Granule,HEGC,S010101:Glutamatergic GC:Granule:DG,type,This is the most descriptive of the related names in the cited literature.,0,,DG,,0,e,2203,0000,p,000S,CA3_00100,,Hilar Ectopic,Granule,,Hilar Ectopic Granule,Granule Hilar Ectopic,Granule Hilar Ectopic (e)
1001,1003,1004,3,,active,DG (e)2311p-CA3_00100 Semilunar Granule,DG (e)2311p (0S00) Semilunar Granule,Semilunar Granule,DG Semilunar Granule,Semilunar Granule,,Semilunar Granule,SGC,S010101:Glutamatergic GC:Granule:DG,type,This is the only name in the cited literature.,0,,DG,,0,e,2311,0000,p,0S00,CA3_00100,,Semilunar,Granule,,Semilunar Granule,Granule Semilunar,Granule Semilunar (e)
1050,1004,1002,5,1,active,DG (e)3000 Cajal-Retzius*,DG (e)3000 (S000) Cajal-Retzius,DG Cajal-Retzius*,DG Cajal-Retzius,DG Cajal-Retzius,1,DG Cajal-Retzius,DG C-R,S030301:Glutamatergic C-R:Cajal-Retzius:DG,type,This is the only name in the cited literature.,0,,DG,,1,e,3000,0000,,S000,,,,Cajal-Retzius,,Cajal-Retzius,Cajal-Retzius,DG Cajal-Retzius (e)
1093,1005,1001,5,1,active,DG (e)3000p-CA1_1000 Local-Projecting Cajal-Retzius*,DG (e)3000p (S000) Local-Projecting Cajal-Retzius,DG Local-Projecting Cajal-Retzius*,DG Local-Projecting Cajal-Retzius,DG Local-Proj Cajal-Retzius,1,DG Local-Projecting Cajal-Retzius,DG lpC-R,S030301:Glutamatergic C-R:Cajal-Retzius:DG,type,This is the only name in the cited literature.,0,,DG,,1,e,3000,0000,p,S000,CA1_1000,,Local-Projecting,Cajal-Retzius,,Local-Projecting Cajal-Retzius,Cajal-Retzius Local-Projecting,DG Cajal-Retzius Local-Projecting (e)
1002,1006,1007,2,,active,DG (e)0103 Mossy,DG (e)0103 (000S) Mossy,Mossy,DG Mossy,Mossy,,Mossy,MC,S020201:Glutamatergic MC:Mossy:DG,type,This is a canonical secondary cell of the dentate gyrus circuitry and is the name most often cited in the literature.,0,,DG,,0,e,0103,0000,,000S,,,,Mossy,,Mossy,Mossy,Mossy (e)
1043,1007,1003,5,,active,DG (e)2323 Mossy MOLDEN,DG (e)2323 (000S) Mossy MOLDEN,Mossy MOLDEN,DG Mossy MOLDEN,Mossy MOLDEN,,Mossy MOLDEN,MC MOLDEN,S020201:Glutamatergic MC:Mossy:DG,type,"This variant of the standard Mossy has ""MOlecular Layer DENdrites.""",0,,DG,,0,e,2323,0000,,000S,,,,Mossy,MOLDEN,Mossy MOLDEN,Mossy MOLDEN,Mossy MOLDEN (e)
1027,1008,1016,4,,active,DG (i)2333 AIPRIM,DG (i)2333 (000S) AIPRIM,AIPRIM,DG AIPRIM,AIPRIM,,AIPRIM,AIPRIM,S131101:Collateral-related:SMi-targeting:DG,type,"This is a new HC-derived name in the vein of HICAP, MOPP, and HIPP that stands for ""Aspiny Interneuron with PRojections to the Inner Molecular layer.""",0,,DG,,0,i,2333,0000,,000S,,,,AIPRIM,,AIPRIM,AIPRIM,AIPRIM (i)
1010,1009,1019,3,,active,DG (i)2233 Axo-axonic,DG (i)2233 (00S0) Axo-axonic,DG Axo-axonic,DG Axo-axonic,DG Axo-axonic,,DG Axo-axonic,DG AA,S110901:Perisomatic-targeting:Axo-axonic:DG,type,"The phrase ""chandelier cell"" has fallen out of use. DG distinguishes these cells from axo-axonic cells in other subregions.",0,,DG,,1,i,2233,0000,,00S0,,,,Axo-axonic,,Axo-axonic,Axo-axonic,DG Axo-axonic (i)
1064,1010,1023,5,1,active,DG (i)2210 Axo-axonic GRALDEN*,DG (i)2210 (0SS0) Axo-axonic GRALDEN,DG Axo-axonic GRALDEN*,DG Axo-axonic GRALDEN,DG Axo-axonic GRALDEN,1,DG Axo-axonic GRALDEN,DG AA GRALDEN,S110901:Perisomatic-targeting:Axo-axonic:DG,type,"The phrase ""chandelier cell"" has fallen out of use. This variant of the standard Axo-axonic has ""GRAnular Layer DENdrites."" DG distinguishes these cells from axo-axonic cells in other subregions.",0,,DG,,1,i,2210,0000,,0SS0,,,,Axo-axonic,GRALDEN,Axo-axonic GRALDEN,Axo-axonic GRALDEN,DG Axo-axonic GRALDEN (i)
1035,1011,1020,2,,active,DG (i)2232 Basket,DG (i)2232 (00S0) Basket,DG Basket,DG Basket,DG Basket,,DG Basket,DG BC,S110701:Perisomatic-targeting:Basket:DG,type,This name omits any descriptive adjectives because not all of the subtypes are clearly known to be PV+. DG distinguishes these cells from basket cells in other subregions.,0,,DG,,1,i,2232,0000,,00S0,,,,Basket,,Basket,Basket,DG Basket (i)
1063,1012,1022,5,1,active,DG (i)2210 Basket GRALDEN*,DG (i)2210 (S0S0) Basket GRALDEN,DG Basket GRALDEN*,DG Basket GRALDEN,DG Basket GRALDEN,1,DG BC GRALDEN,DG BC GRALDEN,S110701:Perisomatic-targeting:Basket:DG,type,"DG distinguishes these cells from basket cells in other subregions. This variant of the standard Basket has ""GRAnular Layer DENdrites.""",0,,DG,,1,i,2210,0000,,S0S0,,,,Basket,GRALDEN,Basket GRALDEN,Basket GRALDEN,DG Basket GRALDEN (i)
1036,1013,1021,3,,active,DG (i)2232 Basket CCK+,DG (i)2232 (0SS0) Basket CCK+,DG Basket CCK+,DG Basket CCK+,DG Basket CCK+,,DG BC CCK+,DG BC CCK+,S110801:Perisomatic-targeting:Basket CCK+:DG,type,"These cells are known to be CCK+. DG distinguishes these cells from basket CCK+ cells in other subregions. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive.""",0,,DG,,1,i,2232,0000,,0SS0,,,,Basket,CCK+,Basket CCK+,Basket CCK+,DG Basket CCK+ (i)
