id,subregion,parcel,volume
1,CA1,SLM,9366545922.000000
2,CA1,SR,10951817102.000000
3,CA1,SP,3436800000.000000
4,CA1,SO,7686802192.000000
5,CA2,SLM,563360068.700000
6,CA2,SR,750267763.700000
7,CA2,SP,411400000.000000
8,CA2,SO,620633287.100000
9,CA3,SLM,759922216.300000
10,CA3,SR,8229351456.000000
11,CA3,SL,4854926084.000000
12,CA3,SP,4118100000.000000
13,CA3,SO,7025688810.000000
14,DG,SMO,9518233055.000000
15,DG,SMI,4759116527.000000
16,DG,SG,3174600000.000000
17,DG,H,3515908637.000000
18,EC,I,7918472146.000000
19,EC,II,11458847642.000000
20,EC,III,8193981881.000000
21,EC,IV,3433932519.000000
22,EC,V,6379214088.000000
23,EC,VI,6182839555.000000
24,MEC,I,2576770345.000000
25,MEC,II,3628376490.000000
26,MEC,III,2575731103.000000
27,MEC,IV,377361465.500000
28,MEC,V,773049991.800000
29,MEC,VI,1282619658.000000
30,LEC,I,5341701801.000000
31,LEC,II,7830471152.000000
32,LEC,III,5618250778.000000
33,LEC,IV,3056571053.000000
34,LEC,V,5606164096.000000
35,LEC,VI,4900219897.000000
36,SUB,SM,2438029401.000000
37,SUB,SP,8776760226.000000
38,SUB,SL,7124137181.000000
