Authors,Titile,Journal/Book,Year,PMID/ISBN,Cell Identifier,Parameter,Parameter_ID,Name of file containing figure,Figure/Table,Quote reference id,Interpretation notes figures,Comments,Inference_flag
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,CB,1,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4020-CB.jpeg,marker_table,160950,,This entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,CCK,11,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4020-CCK.jpeg,marker_table,160950,,This entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,CR,2,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4020-CR.jpeg,marker_table,160950,,This entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,PV,3,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4020-PV.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4020,VIP,15,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4020-VIP.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,CB,1,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4021-CB.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,CCK,11,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4021-CCK.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,CR,2,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4021-CR.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,PV,3,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4021-PV.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4021,VIP,15,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4021-VIP.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,CB,1,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4022-CB.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,CCK,11,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4022-CCK.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,CR,2,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4022-CR.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,PV,3,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4022-PV.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4022,VIP,15,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4022-VIP.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
"Acsady L, Arabadzisz D, and Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptided-immunoreactive interneurons in rat hippocampus,Neurosci,1996,8783251,4091,CB,1,Acsady-Freund-1996-299-Neurosci-Tab1-Cell4091-CB.jpeg,marker_table,160950,,This entire entry added by Byron- 9/15/2014,0
