Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,Interpretation notes figures,New?,Notes,copied to portal folder
"Acs_dy L, Kamondi A, SÃÂk A, Freund T, Buzs_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig1.jpeg,figure,612032,,,,,
"Acs_dy L, Kamondi A, SÃÂk A, Freund T, Buzs_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig2A.jpeg,figure,612034,,,,,
"Acs_dy L, Kamondi A, SÃÂk A, Freund T, Buzs_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig8.jpeg,figure,612036,,,,,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,Acsady-Freund-1996-299-Neurosci-Fig2_No3.jpeg,figure,612751,,,1,#3,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,Acsady-Freund-1996-299-Neurosci-Fig2-CA1_2003_IS-3.jpeg,figure,612040,,,1,"#2,#4",
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Acsady-Freund-1996-299-Neurosci-Fig2-CA1_2100_IS-2.jpeg,figure,612040,,,1,#5,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Acsady-Freund-1996-299-Neurosci-Fig2-CA1_2223_Quad_IS-3.jpeg,figure,612040,,,1,"#1,#7",
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,Acsady-Freund-1996-299-Neurosci-Fig2cell6.jpeg,figure,612746,,,1,#6,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Acsady-Freund-1996-299-Neurosci-Fig3-CA1_2100_IS-2.jpeg,figure,612041,,,1,"#3,#6",
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Acsady-Freund-1996-299-Neurosci-Fig3cell4.jpeg,figure,630041,,,,#4,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4056,Acsady-Freund-1996-299-Neurosci-Fig3cell7.jpeg,figure,630042,,,,#7,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4021,Acsady-Freund-1996-299-Neurosci-Fig5cell1.jpeg,figure,630029,,,1,,
"Acs_dy L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4091,Acsady-Freund-1996-299-Neurosci-Fig5cell2.jpeg,figure,630029,,,1,,
"Acs_dy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4020,Acsady-Freund-1996-317-Neurosci-Fig1A-B.jpeg,figure,611012,,,,,
"Acs_dy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,Acsady-Freund-1996-317-Neurosci-Fig2.jpeg,figure,611013,1,,,,
"Acs_dy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4020,Acsady-Freund-1996-317-Neurosci-Fig9A.jpeg,figure,611015,,,,,
"Acs_dy L., Gorcs T.J., Freund T.F.",Different populations of vasoactive intestinal poly-peptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,Neuroscience,1996,8783252,4021,Acsady-Freund-1996-317-Neurosci-Fig9B.jpeg,figure,611015,,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4069,Ali-Thomson-1998-185-JPhysiol-Fig3A-B.jpeg,figure,612045,,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4069,Ali-Thomson-1998-185-JPhysiol-Fig4AC.jpeg,figure,612047,,,,,
"Ali AB, Thomson AM ","Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rathippocampus",J Physiol (Lond),1998,9490837,4089,Ali-Thomson-1998-185-JPhysiol-Fig5A.jpeg,figure,612737,,,1,,
Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,1002,Amaral-1978-851-JCompNeur-Fig21.jpeg,figure,611018,,,,,
Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,1002,Amaral-1978-851-JCompNeur-Fig22.jpeg,figure,611019,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1013,Amaral-Lavenex-2007-37-THB-Fig17-DG_1002_HIPP.jpeg,figure,611668,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex-2007-37-THB-Fig17-DG_2201p_GC.jpeg,figure,611670,,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1035,Amaral-Lavenex-2007-37-THB-Fig17-DG_2232_Basket.jpeg,figure,611662,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1036,Amaral-Lavenex-2007-37-THB-Fig17-DG_2232_Basket.jpeg,figure,611662,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1010,Amaral-Lavenex-2007-37-THB-Fig17-DG_2233_AA.jpeg,figure,611660,,,1,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1009,Amaral-Lavenex-2007-37-THB-Fig17-DG_2322_HICAP.jpeg,figure,611664,,,1,,
