Source_ID,Source_Name,Target_ID,Target_Name,Layers,Connection?,ePhysCType,RefIDs,Proper,Fuzzy-High,Fuzzy-Low,Amplitude,Kinetics,ST-Plasticity,LT-Plasticity
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1002,DG (e)0103 Mossy,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1004,DG (i)3303 Total Molecular Layer,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1005,DG (i)3302 MOLAX,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1006,DG (i)3222 Outer Molecular Layer,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1009,DG (i)2322 HICAP,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1010,DG (i)2233 Axo-Axonic,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1013,DG (i)1002 HIPP,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1014,DG (i)1003 Recurrent HIPP,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1026,DG (i)1333p-CA3_01111 HIPROM,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1027,DG (i)2333 AIPRIM,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1035,DG (i)2232 Basket,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1036,DG (i)2232 Basket CCK+,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1041,DG (e)2203p-CA3_00100 Hilar Ectopic Granule,DG:H,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1043,DG (e)2323 Mossy MOLDEN,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1045,DG (i)0333 Ivy,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1046,DG (i)1102 HIPP-CAP,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1047,DG (e)2203p-CA3_00100 Adult-Born Immature Granule,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1049,DG (i)1103 Recurrent HIPP-CAP,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1094,DG (i)0003 Hilus-Associated Interneuron,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1105,DG (i)2203 Interneuron Specific HIMOLD,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,1106,DG (i)2322 Interneuron Specific IMOT,DG:H,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2000,CA3 (e)23223p-CA2_0101-CA1_0101 Pyramidal,CA3:SL; CA3:SP,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2004,CA3c (e)03223p-DG_0101-CA2_0101-CA1_0101-Sub_100 Pyramidal,CA3:SL; CA3:SP,1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2005,CA3 (i)33200 LMR-Targeting,CA3:SL,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2013,CA3 (i)03311 Lucidum ORAX,CA3:SL,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2014,CA3 (i)03300 Lucidum-Radiatum,CA3:SL,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1000,DG (e)2201p-CA3_00110-CA2_0010 Granule,2017,CA3 (i)02310 Lucidum LAX,CA3:SL,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
