Area,Cell type,Uniq ID,PMID/ISBN/DOI,Figure number,ReferenceID,Istim (pA),Tstim (ms),Reference ID,Transient 1,Transient 2,Transient 3,Transient 4,Steady State,Steady State,Notes,OVERALL FIRING PATTERN (old classification),Alternative classification,Delay (ms),PFS(ms),SWA (mV),,NISI, ISIAV (ms),SD (ms),Max ISI (ms),Min ISI (ms),1st ISI (ms),ISIAV1-2  (ms),ISIAV1-3 (ms),ISIAV1-4 (ms),Last ISI (ms),ISIAVn-n-1 (ms),ISIAVn-n-2 (ms),ISIAVn-n-3 (ms),MaxISI/MinISI,MaxISIn /ISIn-1,MaxISIn /ISIn+1,AI = (ISIAVn-n-2 - ISIAV1-3)/ ISIAVn-n-2,RDmax    (RDi=|ISIi-ISIAV|/ISIAV ),DF=(Delay-2 ISIAV1-2)/Delay,SF=(PSF-2 ISIAVn-n-1)/PSF,Tmax(scaled),ISImax(scaled),ISIav (scaled),SD(scaled),Slope,Intercept,Slope1,Intercept1,Css (Yc1),Xc1,Slope2,Intercept2,Slope3,Intercept3,Xc2,Yc2,F1-2,F1-2crit,F2-3,F2-3crit,F3-4,F3-4crit,P1-2,P2-3,P3-4,P1-2uv,P2-3uv,P3-4uv,,ISIi/ISIi-1,i,"ISIav(i,n)/ISI1,i-1",MaxISIj /ISIj-1,MaxISIj /ISIj+1,NISI_c, ISIAV (ms)_c,Max ISI (ms)_c,Min ISI (ms)_c,1st ISI (ms)_c,Tmax(scaled) _c,ISImax(scaled)_c,ISIav (scaled) _c,SD(scaled) _c,Slope_c,Intercept_c,no value_c,Intercept1_c,Css (Yc1) _c,Xc1_c,Slope2_c,Intercept2_c,Slope3_c,Intercept3_c,Xc2_c,Yc2_c,F1-2_c,F1-2crit_c,F2-3_c,F2-3crit_c,F3-4_c,F3-4crit_c,P1-2_c,P2-3_c,P3-4_c,P1-2uv_c,P2-3uv_c,P3-4uv_c, trace #,,,,,,,,Subtypes,,Original  FP names ,,OVERALL FIRING PATTERN,M_2p,C_2p,M_3p,C1_3p,C2_3p,M1_4p,C1_4p,M2_4p,C2_4p,N_ISI_cut_3p,N_ISI_cut_4p,F_12,F_crit_12,F_23,F_crit_23,F_34,F_crit_34,P_12,P_12_UV,P_23,P_23_UV,P_34,P_34_UV,M_FASP,C_FASP,N_ISI_cut_FASP,,,,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,ISI8,ISI9,ISI10,ISI11,ISI12,ISI13,ISI14,ISI15,ISI16,ISI17,ISI18,ISI19,ISI20,ISI21,ISI22,ISI23,ISI24,ISI25,ISI26,ISI27,ISI28,ISI29,ISI30,ISI31,ISI32,ISI33,ISI34,ISI35,ISI36,ISI37,ISI38,ISI39,ISI40,ISI41,ISI42,ISI43,ISI44,ISI45,ISI46,ISI47,ISI48,ISI49,ISI50,ISI51,ISI52,ISI53,ISI54,ISI55,ISI56,ISI57,ISI58,ISI59,ISI60,ISI61,ISI62,ISI63,ISI64,ISI65,ISI66,ISI67,ISI68,ISI69,ISI70,ISI71,ISI72,ISI73,ISI74,ISI75,ISI76,ISI77,ISI78,ISI79,ISI80,ISI81,ISI82,ISI83,ISI84,ISI85,ISI86,ISI87,ISI88,ISI89,ISI90,ISI91,ISI92,ISI93,ISI94,ISI95,ISI96,ISI97,ISI98,ISI99,ISI100,ISI101,ISI102,ISI103,ISI104,ISI105,ISI106,ISI107,ISI108,ISI109
DG,DG Granule (e) 2201p,1000,8261117,Fig1B,100065111710102,651.63925,220.26315,,,,ASP.,,,,,ASP.,,1.31576,8.15789,0,,12,17.43421167,11.90235923,37.89475,5.26318,5.26318,5.394745,5.877196667,6.51316,37.89475,37.631585,34.73684333,32.039475,7.19997226,1.014084888,no value,0.830807981,1.173585518,-7.200196084,-8.225813292,38.74983565,7.19997226,3.312486304,2.261438756,0.177332309,0.936243819,0.177332173,0.936246978,131.5063936,736.3026389,8506020.658,12245928.95,0.177332306,0.936243777,-1.439677702,0.68094241,35.69572415,2.978237016,1.000005999,2.978237016,1.049446897,2.978237016,0.000143139,0.659232305,0.346114655,0.000713483,0.499997387,0.478367243,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,1,,,,,,,,1-000-1,Subtypes,,,ASP.,0.177332309,0.936243819,0.193250032,0.814891083,7.19997226,0.193250032,1,0.177332309,0.936243819,11,0,34.2088261,2.81793047,2.520616912,2.81793047,no value,no value,no value,2.56E-04,0.060549301,no value,no value,no value,no value,no value,no value,,,,5.26318,5.52631,6.8421,8.42105,10.5263,11.57896,16.31579,16.57895,23.94737,28.94736,37.36842,37.89475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Granule (e)2201p,1000,9497429,Fig1B,100057742910102,250,967.2632,,D.,,,,NASP,,,D.NASP,,37.8948,0.94738,0,,53,17.3187683,2.894300011,27.36842,12.63157,12.6316,14.2105,15.4386,14.73685,27.36842,23.157895,20.70175667,21.05263,2.166668118,1.444444269,no value,0.254237201,0.580275198,0.250002639,-47.88829192,71.66671443,2.166668118,1.371070128,0.229132247,0.005920844,1.16887691,0.005920884,1.168873989,61332263.73,10358632238,0.005847614,1.174577381,0.005920851,1.168876662,77.83964362,1.629753595,1.582948443,1.591972238,0.942773562,0.628151658,1.060700421,1.591972238,0.108075603,0.715906568,0.305108396,0.302389981,0.484775424,0.484775116,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,2,,,,,,,,1-000-2,Subtypes,,,D.NASP,0.005920844,1.16887691,0.005920844,1.16887691,1.616667762,0.005920844,1.16887691,0.005812328,1.178349501,0,0,1.636283915,1.584704897,no value,no value,no value,no value,no value,0.25839327,no value,no value,no value,no value,no value,no value,no value,,,,12.6316,15.7894,17.8948,12.6316,16.8421,15.7894,14.7369,17.8947,12.6316,16.8421,17.8947,12.6316,16.8421,15.7895,16.8421,15.78946,14.73684,17.89475,13.6842,17.89475,16.8421,16.8421,20,15.7895,16.8421,14.73684,17.89472,18.94738,17.89473,18.94736,16.84212,20,12.63157,18.94738,17.89473,16.842105,17.89473,15.789475,23.157897,15.789473,18.947368,16.842106,18.947369,18.947369,19.999998,17.89474,25.26315,14.73685,17.89474,22.10525,15.78948,18.94737,27.36842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Granule (e)2201p,1000,18077687,"Fig2A1, right top",100055768710201,414.533005,2003.159642,,,,TSWB.,,,SLN,,TSWB.SLN,,7.793627,1943.55064,7.587535,,3,17.163673,9.058830408,27.552152,10.9101713,13.0286957,11.9694335,17.163673,no value,27.552152,19.23116165,17.163673,no value,2.525363832,2.525363832,no value,0,0.605259667,-2.071595164,0.98021028,3.525363832,2.525363832,1.57318089,0.830310557,0.421638781,0.937157927,no value,no value,0.937157927,no value,no value,no value,0.421638781,0.937157927,no value,no value,2.174433838,161.4476388,no value,no value,no value,no value,0.11309008,no value,no value,0.072808217,no value,no value,,2.525363832,2,2.301876024,2.525363832,no value,1,27.552152,27.552152,27.552152,27.552152,0,1,1,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,3,,,,,,,,1-000-3,Subtypes,,,TSWB.SLN,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,,,,13.0286957,10.9101713,27.552152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Granule (e)2201p,1000,18077687,"Fig2A1, right bottom",100055768710204,209.078769,1997.084649,,,,,,,,,-,TSTUT.SLN,41.80582321,1904.26758,5.82973,,1,51.036145,no value,51.036145,51.036145,51.036145,no value,no value,no value,51.036145,no value,no value,no value,1,no value,no value,no value,0,no value,no value,0,1,1,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,4,,,,,,,,1-000-3,Subtypes,,,TSWB.SLN,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,,,T,51.036145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Semilunar granule ( e ) 2311p,1001,18077687,"Fig2A1, left top",100159768710201,418.52443,1996.958211,,,TSTUT.,,,NASP,,,TSTUT.NASP,,14.1676026,31.8601,0,,9,217.0165416,204.0106053,592.13363,12.8066418,12.8066418,22.34017215,30.52635143,34.08356108,266.2447,355.6837,324.4643833,306.17025,46.23644818,13.23050198,2.356395783,0.905917712,1.728518415,-2.153698305,-21.3278458,151.5106195,46.23644818,16.94562439,15.93006258,0.177576516,6.530433955,0.486756908,1.115570384,28.31653796,55.88203712,0.498759353,0.446402319,0,28.31809101,55.8820371,28.31809101,0.904561568,0.264058226,2.698791963,3.78704354,0.996147715,0.264058226,0.033573735,0.173235493,0.582000049,0.184712954,0.346248992,0.49639515,,2.488841571,1,18.93882743,13.23050198,2.356395783,8,242.5427791,592.13363,31.8737025,31.8737025,7.82010794,2.356395783,1.446002765,0.601163677,-0.119886476,2.080511442,0,1.446002764,6.73204879,no value,0,0,0,0,no value,no value,0.154896278,0.156537812,6.455932992,6.388232909,0.154896279,0.156537812,0.995326553,0.004673447,0.995326553,0.010809212,0.010809212,0.010809212,5,,,,,,,,1-001-1,Single type WITH multi-behavior,,,TSTUT.NASP,0.083498949,1.057033466,0.122481084,0.993574914,1.338238598,0.112659356,0.99510789,0.048356042,1.17605367,2,2,1.122685808,9.276628153,no value,no value,no value,no value,0.316375685,no value,no value,no value,no value,no value,no value,no value,no value,,,T,12.8066418,31.8737025,46.89871,44.75519,592.13363,251.28785,262.02575,445.1227,266.2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Semilunar granule ( e ) 2311p,1001,18077687,"Fig2A1, left middle",100175768710202,311.117035,1996.951418,,,TSTUT.,,,NASP,,,TSTUT.NASP,,20.4212175,36.2152,0,,8,242.0162556,182.8209056,453.71035,21.265015,21.265015,42.557245,53.94622167,129.3814363,400.4287,270.52835,321.6313167,354.651075,21.33599953,1.275588503,1.070482479,0.832273106,0.912133939,-3.167943953,-13.94004451,90.04766891,21.33599953,11.38095861,8.59726201,0.163220467,5.188942784,0.683436198,0.454419318,16.67767302,23.73777354,0.68343775,0.454410461,0,16.67766862,23.73772617,16.67766862,0.265478859,0.233434021,1.091022779,4.283865714,0.999998948,0.233434021,0.068838376,0.021698221,0.451564168,0.096788092,0.13463136,0.499999602,,3.002559603,1,12.8639527,1.275588503,1.070482479,7,273.5521471,453.71035,63.849475,63.849475,28.99030188,7.10593705,4.28432884,2.699654777,0.136468859,2.450230221,0.708890463,0.70655377,5.554484303,6.838758295,0.708890652,0.70655385,0,5.554484569,6.838756736,5.554484569,0.314258795,0.1980069,0.933530059,0.1980069,0.999999456,0.1980069,0.136608862,0.035021469,0.149318894,0.240641716,0.16555028,0.49999985,6,,,,,,,,1-001-1,Single type WITH multi-behavior,,,RASP.NASP,0.094539219,2.881873725,0.094539219,2.881873725,5.219068175,0.784293051,1,-0.09949705,6.305288427,0,2,1.137800113,5.050329058,no value,no value,no value,no value,0.28606701,no value,no value,no value,no value,no value,0.386986087,1.296805414,3,,,T,21.265015,63.849475,76.724175,355.68708,453.71035,423.83725,140.628,400.4287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Semilunar granule ( e ) 2311p,1001,18077687,"Fig2A1, left bottom",100175768710203,201.8518465,1999.074579,,,TSTUT.,,,NASP,,,TSTUT.NASP,,56.5955588,321.7857,0,,5,325.443826,175.8113353,523.95637,132.06084,132.06084,142.703545,244.93892,314.6932825,368.446,446.201185,447.27068,373.7895725,3.967537765,1.165876938,1.422070995,0.452369827,0.609974835,-4.042923792,-1.773281628,11.32173845,3.967537765,2.46434769,1.331290452,0.20892014,1.395557667,0.208920054,1.395558046,4.83021246,16.44004175,0.556389672,0.792889478,0,3.378752136,4.647574868,3.378752136,4.092479033,9.276628153,1.000001976,9.276628153,1.014287617,9.276628153,0.157859356,0.66982004,0.031218262,0.268215527,0.499999972,0.024893556,,2.930685752,2,3.134264674,1.165876938,1.422070995,3,447.27068,523.95637,368.446,449.40967,2.422070995,1.422070995,1.213938216,0.211095378,-0.074991938,1.310031436,0,1.213938216,2.022285916,no value,0,1.213938216,0,2.022285916,no value,no value,0.004134394,0.006193959,241.8734281,161.4476388,1,161.4476388,0.522699817,0.477300183,0.666666667,0.279697071,0.279697071,0.5,7,,,,,,,,1-001-1,Single type WITH multi-behavior,,,RASP.NASP,-0.074991938,1.310031436,-0.289680549,1.712572801,1.300616496,-0.074991938,1.310031436,-0.074991938,1.310031436,0,0,3.230771277,19,no value,no value,no value,no value,0.477300183,no value,no value,no value,no value,no value,0.556389848,0.792890076,3,,,T,132.06084,153.34625,449.40967,523.95637,368.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG, Mossy (e) 0103,1002,9497429,Fig. 5B,100266742910502,1000,961.9434,,D.,,ASP.,,,,,D.ASP.,,14.1244,2.20776,0,,43,21.40205558,6.111974047,29.594476,5.33495,5.33495,5.635345,6.88895,7.8972775,29.594476,28.73536,28.94963667,27.894265,5.54728273,1.061637859,no value,0.762036737,0.750727215,0.202041149,-25.03123528,171.5017835,5.54728273,4.011669384,1.145647859,0.018757341,2.61121746,0.043571348,1.962630469,4.784063281,64.75431564,0.117671636,1.248589037,0.011825193,3.400074302,20.32647688,3.640438821,4.576329525,1.681644228,1.18214507,1.681644228,3.227338852,1.681644228,0.000104111,0.324565121,0.000240422,0.0005852,0.429443704,0.001814822,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,8,,,,,,,,1-002-1,Single type WITH multi-behavior,,,D.ASP.,0.018757341,2.61121746,0.025034968,2.370371003,5.130992168,0.131218135,1.187492209,0.012226993,3.352301269,31,8,4.273083829,1.670970511,1.193099662,1.670970511,no value,no value,no value,8.38E-04,0.119894663,no value,no value,no value,no value,no value,no value,,,,5.33495,5.93574,9.39616,10.92226,12.328,13.80597,13.73383,16.97809,17.17028,23.34637,17.0742,18.57614,21.67621,20.10211,21.77228,21.65216,18.5041,21.6281,21.6281,21.7002,23.2262,21.6281,21.7002,24.7042,24.7041,23.29825,21.67615,24.7522,23.25024,26.27814,23.32232,26.32624,27.8522,29.47431,24.80025,24.77622,26.25412,27.94834,29.4743,24.72815,29.37819,27.876244,29.594476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG, Mossy (e) 0103,1002,9497429,Fig. 5C,100257742910503,40,482.8125,,D.,,,,NASP,,,D.NASP,,265.625,57.8125,0,,2,76.5625,4.419417382,79.6875,73.4375,79.6875,76.5625,no value,no value,73.4375,76.5625,no value,no value,1.085106383,no value,1.085106383,no value,0.040816327,0.423529412,-1.648648649,1,1.085106383,1.042553191,0.060179301,-0.085106383,1.085106383,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,1,no value,no value,no value,no value,no value,8.30E-16,no value,no value,no value,no value,no value,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,9,,,,,,,,1-002-1,Single type WITH multi-behavior,,,D.NASP,-0.085106383,1.085106383,-0.085106383,1.085106383,1.085106383,-0.085106383,1.085106383,0,1.085106383,0,0,Infinity,161.4476388,no value,161.4476388,no value,no value,no value,8.30E-16,no value,no value,no value,no value,no value,no value,no value,,,,79.6875,73.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG, Total Molecular Layer (i)3303,1004,9151716,Fig7A (0.07nA),100465171610701,70,672.96182,,,,ASP.,,,,AI<0.28; MaxISI/MinISI<2.5,NASP,ASP.-auto ,64.7066,99.06229,0,,5,101.699352,24.39975812,137.53326,77.7937,77.7937,80.518795,85.64896333,92.740875,137.53326,125.774935,115.8197233,107.675765,1.767922852,1.206256352,no value,0.2604976,0.35235139,-1.488735152,-1.539310064,5.536477375,1.767922852,1.307295475,0.313646968,0.142074783,0.947050139,0.142075028,0.947048439,47565593.77,334792070,0.073164994,1.404307563,0.142074837,0.947049997,6.635591549,1.889800581,257.0015868,9.276628153,0.999991764,0.107797789,1.000017487,9.276628153,0.015430649,0.336678508,0.662471671,0.046495235,0.499960669,0.49996328,,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,10,,,,,,,,1-004-1,Subtypes,,,ASP.,0.142074783,0.947050139,0.142074783,0.947050139,1.767922852,0.142074783,1,0.142074783,0.947050139,0,0,119.379442,6.388232909,1,6.388232909,no value,no value,no value,0.015894368,0.094501829,no value,no value,no value,no value,no value,no value,,,,77.7937,83.24389,95.9093,114.01661,137.53326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
