Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neurite,Neurite_ID,Name of file containing figure,Reference_ID
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(All)-A.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(All)-D.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SLM)-D.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SO)-A.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SO)-D.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SP)-A.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SP)-D.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020-CA1(SR)-D.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4020,Original,97,Acsady-Freund-1996-299-Neurosci-Fig2_1-Cell4020.png,800314
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(All)-A.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(All)-D.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SLM:D,53,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SLM)-D.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SO)-A.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SO)-D.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SP)-A.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SP)-D.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022-CA1(SR)-D.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,Original,97,Acsady-Freund-1996-299-Neurosci-Fig2_2-Cell4022.png,800302
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(All)-A.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(All)-D.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:SO:A,61,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(SO)-A.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:SO:D,62,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(SO)-D.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:SP:A,58,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(SP)-A.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:SP:D,59,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(SP)-D.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,CA1:SR:D,56,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093-CA1(SR)-D.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4093,Original,97,Acsady-Freund-1996-299-Neurosci-Fig2_3-Cell4093.png,800322
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:All:A,49,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(All)-A.png,800300
"Acsady L., Arabadzisz D. Freund TF",Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,Neuroscience,1996,8783251,4022,CA1:All:D,50,Acsady-Freund-1996-299-Neurosci-Fig2_4-Cell4022-CA1(All)-D.png,800300
