Authors,Title,Journal/Book,Year,PMID/ISBN,Unique ID,Phase parameter,Phase parameter ID,Name of file containing figure,FTQ ID,Figure/Table,Reference ID,reference_id
"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Frste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,6003,theta,101,Burgalossi-Brecht-2011-773-v70-Neuron-Fig7F-Cell6003-theta.jpeg,10706,figure,6003101983110706,"""6003101983110706"""
"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Frste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,6003,firing rate baseline,111,Burgalossi-Brecht-2011-773-v70-Neuron-Fig7A-Cell6003-FR_baseline.jpeg,10701,figure,6003111983110701,"""6003111983110701"""
"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Frste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,6017,theta,101,Burgalossi-Brecht-2011-773-v70-Neuron-Fig7F-Cell6017-theta.jpeg,10706,figure,6017101983110706,"""6017101983110706"""
"Andrea Burgalossi, Lucas Herfst, Moritz von Heimendahl, Henning Frste, Kurt Haskic, Martin Schmidt, Michael Brecht",Microcircuits of Functionally Identified Neurons in the Rat Medial Entorhinal Cortex,Neuron,2011,21609831,6017,firing rate baseline,111,Burgalossi-Brecht-2011-773-v70-Neuron-Fig7A-Cell6017-FR_baseline.jpeg,10701,figure,6017111983110701,"""6017111983110701"""
"Chang EH, Huerta PT",Neurophysiological correlates of object recognition in the dorsal subiculum,Frontiers in Behavioral Neuroscience,2012,22833721,4000,firing rate baseline,111,Chang-Huerta-2012-1-v6-n46-FrontBehavNeurosci-Tab1-Cell4000-FR_baseline.jpeg,20100,table,4000111372120100,"""4000111372120100"""
"Chang EH, Huerta PT",Neurophysiological correlates of object recognition in the dorsal subiculum,Frontiers in Behavioral Neuroscience,2012,22833721,5001,theta,101,Chang-Huerta-2012-1-v6-n46-FrontBehavNeurosci-Fig7B-Cell5001-theta.jpeg,10702,figure,5001101372110702,"""5001101372110702"""
"Chang EH, Huerta PT",Neurophysiological correlates of object recognition in the dorsal subiculum,Frontiers in Behavioral Neuroscience,2012,22833721,5001,firing rate baseline,111,Chang-Huerta-2012-1-v6-n46-FrontBehavNeurosci-Tab1-Cell5001-FR_baseline.jpeg,20100,table,5001111372120100,"""5001111372120100"""
"Chang EH, Huerta PT",Neurophysiological correlates of object recognition in the dorsal subiculum,Frontiers in Behavioral Neuroscience,2012,22833721,5005,theta,101,Chang-Huerta-2012-1-v6-n46-FrontBehavNeurosci-Fig7B-Cell5005-theta.jpeg,10702,figure,5005101372110702,"""5005101372110702"""
"Chang EH, Huerta PT",Neurophysiological correlates of object recognition in the dorsal subiculum,Frontiers in Behavioral Neuroscience,2012,22833721,5005,firing rate baseline,111,Chang-Huerta-2012-1-v6-n46-FrontBehavNeurosci-Tab1-Cell5005-FR_baseline.jpeg,20100,table,5005111372120100,"""5005111372120100"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,2000,theta,101,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell2000-theta.jpeg,20200,table,2000101938620200,"""2000101938620200"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,2000,gamma,105,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell2000-gamma.jpeg,20200,table,2000105938620200,"""2000105938620200"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,3000,theta,101,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell3000-theta.jpeg,20200,table,3000101938620200,"""3000101938620200"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,3000,gamma,105,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell3000-gamma.jpeg,20200,table,3000105938620200,"""3000105938620200"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,4000,theta,101,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell4000-theta.jpeg,20200,table,4000101938620200,"""4000101938620200"""
"Ivan Fernandez-Lamo, Daniel Gomez-Dominguez, Alberto Sanchez-Aguilera, Azahara Oliva, Aixa Victoria Morales, Manuel Valero, Elena Cid, Antal Berenyi, Liset Menendez de la Prida",Proximodistal Organization of the CA2 Hippocampal Area,Cell Reports,2019,30759386,4000,gamma,105,FernandezLamo-MenendezdelaPrida-2019-1734-v26-CellReports-TabS2-Cell4000-gamma.jpeg,20200,table,4000105938620200,"""4000105938620200"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF7b1-Cell4000-theta.jpeg,10702,figure,4000101582810702,"""4000101582810702"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF7b2-Cell4000-theta.jpeg,10704,figure,4000101582810704,"""4000101582810704"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF9a-Cell4000-theta.jpeg,10705,figure,4000101582810705,"""4000101582810705"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF24a-Cell4000-theta.jpeg,10706,figure,4000101582810706,"""4000101582810706"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF43b-Cell4000-theta.jpeg,10707,figure,4000101582810707,"""4000101582810707"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF31a-Cell4000-theta.jpeg,10708,figure,4000101582810708,"""4000101582810708"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_TF51b-Cell4000-theta.jpeg,10709,figure,4000101582810709,"""4000101582810709"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O25b-Cell4000-theta.jpeg,10710,figure,4000101582810710,"""4000101582810710"""
"Thomas Forro, Ornella Valenti, Balint Lasztoczi, Thomas Klausberger",Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,Cerebral Cortex,2015,24275828,4000,theta,101,Forro-Klausberger-2015-1228-v25-CerebralCortex-Fig7B_O33a-Cell4000-theta.jpeg,10711,figure,4000101582810711,"""4000101582810711"""
