Original Spreadsheet Row,Subregion,Cell type name,Unique ID,PMID,Species,Method,Raw temperature,Room/body temperature,Vrest,Vrest_Rep Value?,Vrest_> Value?,Vrest_Statistics String,Vrest_Statistical Method,Vrest_n,Vrest_Page Location,Vrest_Notes,Vrest_Orig ID,Rin,Rin_Rep Value?,Rin_> Value?,Rin_Statistics String,Rin_Statistical Method,Rin_n,Rin_Page Location,Rin_Notes,Rin_Orig ID,tau,tau_Rep Value?,tau_> Value?,tau_Statistics String,tau_Statistical Method,tau_n,tau_Page Location,tau_Notes,tau_Orig ID,Vthresh,Vthresh_Rep Value?,Vthresh_> Value?,Vthresh_Statistics String,Vthresh_Statistical Method,Vthresh_n,Vthresh_Page Location,Vthresh_Notes,Vthresh_Orig ID,Fast AHP,Fast AHP_Rep Value?,Fast AHP_> Value?,Fast AHP_Statistics String,Fast AHP_Statistical Method,Fast AHP_n,Fast AHP_Page Location,Fast AHP_Notes,Fast AHP_Orig ID,AP ampl,AP ampl_Rep Value?,AP ampl_> Value?,AP ampl_Statistics String,AP ampl_Statistical Method,AP ampl_n,AP ampl_Page Location,AP ampl_Notes,AP ampl_Orig ID,AP width,AP width_Rep Value?,AP width_> Value?,AP width_Statistics String,AP width_Statistical Method,AP width_n,AP width_Page Location,AP width_Notes,AP width_Orig ID,Max F.R.,Max F.R._Rep Value?,Max F.R._> Value?,Max F.R._Statistics String,Max F.R._Statistical Method,Max F.R._n,Max F.R._i stim,Max F.R._t stim,Max F.R._Page Location,Max F.R._Notes,Max F.R._Orig ID,Slow AHP,Slow AHP_Rep Value?,Slow AHP_> Value?,Slow AHP_Statistics String,Slow AHP_Statistical Method,Slow AHP_n,Slow AHP_i stim,Slow AHP_t stim,Slow AHP_Page Location,Slow AHP_Notes,Slow AHP_Orig ID,Sag ratio,Sag ratio_Rep Value?,Sag ratio_> Value?,Sag ratio_Statistics String,Sag ratio_Statistical Method,Sag ratio_n,Sag ratio_i stim,Sag ratio_Page Location,Sag ratio_Notes,Sag ratio_Orig ID,Direct Link Ref ID,Indirect Link PMID,Indirect Link pg num,Indirect Link quote,Other Link PMID,Other Link pg num,Other Link quote,,,,,,,,,,
6,DG,Granule (e)2201p,1000,9497429,r,p,36,b,-75,(***),,ÃÂ±2,SDEV,16,Tab1,,1.00002E+14,292,(**),,ÃÂ±34,SDEV,16,Tab1,,1.00003E+14,31,(**),,ÃÂ±2,SDEV,16,Tab1,,1.00004E+14,25.6,(**),,,SingVal,1,Fig1C,,1.00005E+14,11.7,(**),,ÃÂ±1.1,SDEV,16,Tab1,,1.00006E+14,69.4,(**),,,SingVal,1,Fig1C,,1.00007E+14,0.87,(*),,ÃÂ±0.06,SDEV,16,Tab1,,1.00008E+14,72,(*),,ÃÂ±8,SDEV,16,250,1000,Tab1,,1.00009E+14,0.6,(*),,ÃÂ±0.4,SDEV,16,250,1000,Tab1,,1.0001E+14,0.97,(**),,ÃÂ±0.01,SDEV,16,-50,Tab1,,1.00011E+14,612475,,,,,,,,,,,,,,,,
7,DG,Granule (e)2201p,1000,15483119,m,e,33.5,b,-75.5,,,ÃÂ±1.27,SEM,33,Tab1;  wild type,,1.00001E+14,81.9,,,ÃÂ±5.77,SEM,33,Tab1;  wild type,,1.00002E+14,7.48,,,ÃÂ±0.49,SEM,33,Tab1;  wild type,,1.00003E+14,28.8,,,,SingVal,1,Tab1;  wild type,"in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential  ",1.00004E+14,,,,,,,,,,77.5,,,ÃÂ±1.49,SEM,33,Tab1;  wild type,,1.00006E+14,2.11,,,ÃÂ±0.06,SEM,33,Tab1;  wild type,,1.00007E+14,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,SingVal,1,-355,Fig4A;  wild type,,1.0001E+14,,,,,15483119,"p.9006, right","Biocytin-filled GCs (including their dendrites and axonal arborizations) were visualized at the light-microscopic level and photographed before remounting and additional sectioning for EM. Camera lucida drawings were made of each biocytin-filled GC, and its dendrites and axonal arborizations were reconstructed by superimposing all sections of the hippocampal slice.",,,,,,,,,,
8,DG,Granule (e)2201p,1000,16584711,r,p,35,b,-75,,,ÃÂ±3,SEM,9,Tab1;  Granule cells,,1.00001E+14,190,(**),,ÃÂ±36,SEM,9,Tab1;  Granule cells,,1.00002E+14,21,(**),,ÃÂ±7,SEM,9,Tab1;  Granule cells,,1.00003E+14,29,(**),,,SingVal,1,Tab1;  Granule cells,,1.00004E+14,9,(**),,[8.5_9.5],Range,1,Fig3A,Warning! Range presented with n=1.  ,1.00005E+14,93,(**),,,SingVal,1,Fig3A,,1.00006E+14,,,,,,,,,,,,,,,,,,,,,2,,,ÃÂ±0.5,SEM,9,X,X,Tab1,,1.00009E+14,,,,,,,,,,,,,,,16584711,"p. 97, left",Table 1 - Intrinsic and sAHP properties - Granule cells - Pyramidal cells,,,,,,,,,,
9,DG,Granule (e)2201p,1000,8261117,r,e,35,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,SingVal,1,Fig1B,,1.00004E+14,8.7,,,,SingVal,1,Fig1B,,1.00005E+14,57,,,,SingVal,1,Fig1B,,1.00006E+14,,,,,,,,,,,,,,,,,,,,,7.6,,,,SingVal,1,651,221,Fig1B,,1.00009E+14,,,,,,,,,,,,,,,8261117,"p. 397, left","FIG. 1. Different discharge properties of two morphologically identified types
of dentate gyrus neurons. (A) The discharge of a local circuit, non-principal neuron
(shown in Fig. 2) following injection of depolarizing current, which evoked a
train of action potentials without apparent spikc frequency adaptation. (B) In
contrast. a morphologically identified (not shown) granule cell was characterized
by a marked attenuation of its firing rate in response to a 2OO-ms depolarizing
pulse. Note the presence of a long-lasting postburst afterhyperpolarization in the
granule cell.",,,,,,,,,,
10,DG,Granule (e)2201p,1000,1597717,r,e,34,b,-74,,,ÃÂ±2.1,SDEV,11,Tab1;  sharp electrode,,1.00002E+14,54,,,ÃÂ±3,SDEV,11,Tab1;  sharp electrode,,1.00003E+14,13.9,,,ÃÂ±1.6,SDEV,11,Tab1;  sharp electrode,,1.00004E+14,22,,,,SingVal,1,Tab1;  sharp electrode," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",1.00005E+14,,,,,,,,,,84,,,,SingVal,1,Tab1;  sharp electrode,"in hippocampome.org, the AP amplitude is defined as the peak relative to the threshold potential",1.00007E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597717,"p.1349, right","To ascertain that the cells that we recorded were in fact GCs,
patch electrodes were in some instances filled with an electrode
solution containing 0.1% biocytin. At the end of the recording, the
slice was removed from the recording chamber and fixed overnight
in 4% paraformaldehyde. Histochemical processing with the
use of an avidin / horseradish peroxidase label was as described by Horikawa and Armstrong (1988).",,,,,,,,,,
11,DG,Granule (e)2201p,1000,1597717,r,p,34,b,-84,,,ÃÂ±1.0,SDEV,31,Tab1;  patch electrode,,1.00002E+14,228,(**),,ÃÂ±14.2,SDEV,31,Tab1;  patch electrode,,1.00003E+14,26.9,(**),,ÃÂ±1.2,SDEV,31,Tab1;  patch electrode,,1.00004E+14,35,(**),,,SingVal,1,Tab1;  patch electrode," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",1.00005E+14,10,(**),,[9_11],Range,1,Fig3;  top,Warning! Range presented with n=1.  ,1.00006E+14,91,(**),,,SingVal,1,Tab1;  patch electrode,"in hippocampome.org, the AP amplitude is defined as the peak relative to the threshold potential",1.00007E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,(**),,,SingVal,1,-330,Fig4;  whole-cell patch,,1.00011E+14,,,,,1597717,"p.1349, right","To ascertain that the cells that we recorded were in fact GCs,
patch electrodes were in some instances filled with an electrode
solution containing 0.1% biocytin. At the end of the recording, the
slice was removed from the recording chamber and fixed overnight
in 4% paraformaldehyde. Histochemical processing with the
use of an avidin / horseradish peroxidase label was as described by Horikawa and Armstrong (1988).",,,,,,,,,,
12,DG,Semilunar granule (e)2311p,1001,18077687,r,p,30,?,-78,(*),,ÃÂ±8.1,SDEV,11,p.13758,,1.00102E+14,128.3,(*),,ÃÂ±17.5,SDEV,11,p.13758,,1.00103E+14,19.6,(*),,ÃÂ±3.4,SDEV,11,p.13758,,1.00104E+14,37,(*),,,SingVal,1,Fig2A1,,1.00105E+14,21,(*),,,SingVal,1,Fig2A2,,1.00106E+14,85.6,(*),,ÃÂ±2.3,SDEV,11,p.13758,,1.00107E+14,,,,,,,,,,11,(*),1,,SingVal,1,514,X,Fig2A1,,1.00109E+14,,,,,,,,,,,,,,,,,,,,,,ÃÂ 611459,,,,,,,,,,,,,,,,
13,DG,Mossy MOLDEN (e)2323,1043,10934264,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DG,Hilar Ectopic Granule (e)2203p,1041,14580952,r,e,32,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,(*),,,SingVal,1,-400,Fig10C,,1.0411E+14,612658,,,,,,,,,,,,,,,,
16,DG,Hilar Ectopic Granule (e)2203p,1041,21344409,r,e,32,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,(*),,,SingVal,1,Tab3;  Control," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",1.04104E+14,6.8,(*),,,SingVal,1,Tab3;  Control,,1.04105E+14,75,(*),,,SingVal,1,Tab3;  Control,,1.04106E+14,,,,,,,,,,68,(*),1,,SingVal,1,X,X,Fig.6A,,1.04108E+14,,,,,,,,,,,,,,,,,,,,,,612667,,,,,,,,,,,,,,,,
