id,reference_ID,material_used,location_in_reference,PMID_or_ISBN,pmid_isbn_page,type,attachment,attachment_type,source_id,target_id,parameter,interpretation,interpretation_notes,linking_cell_id,linking_pmid_isbn,linking_pmid_isbn_page,linking_quote,linking_page_location,species_tag,strain,age,sections
30001,1000003,"All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper",7889123,0,data,NULL,synpro_figure,2000,4036,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30002,1000003,"All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper",7889123,0,data,NULL,synpro_figure,2000,4078,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30003,1000003,"All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper",7889123,0,data,NULL,synpro_figure,2000,4055,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30004,1000003,"All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper",7889123,0,data,NULL,synpro_figure,2000,4069,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30005,1000003,"All neurons [pyramidal neurons; chandelier/axo-axonic, basket, O/A, and L-M interneurons] in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).","p499, right upper",7889123,0,data,NULL,synpro_figure,2000,4000,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30006,1000012,"It is also known that CA3 pyramidal cells have multiple axonal branchings seen as a bundle of parallel axons (Finch and Babb, 1981). Apart from the Schaffer collateral (Sayer et al., 1989) at least three sister collaterals can be found vertically in the stratum radiatum (Andersen, 1990). This gives a minimum of 4 X 1.3 = 5.2 synaptic contacts from a single CA3 pyramidal cell onto a single CA1 pyramidal cell. Moreover, single radiatum fibres have been reported to produce multiple synapses with single CA1 pyramidal cells (Sorra and Harris, 1993).","p499, right lower",7889123,0,data,NULL,synpro_figure,2000,4000,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30007,1000120,"the number of synapses made on the initial segment, i.e., 100-200 (Kosaka, 1980) for five [CA3] chandelier [axo-axonic] cells contacting one [CA3] pyramidal cell (Best et al., 1993a","p505, left lower",7889123,0,data,NULL,synpro_figure,2028,2000,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30008,1000366,"The most distinctive of these are the pyramidal basket cells, which have large triangular somata located at or beneath the hilar margin of the GL [granular layer] and an axon originating from an apical dendrite. Seress and his collaborators recognized four additional types with somata in the GL and inner ML [molecular layer] (Ribak and Seress, 1983; Seress and Pokorny, 1981). All described basket cell types possess an apical dendritic arbor ascending into the ML, receiving perforant path (see Extrinsic input: The retrohippocampal region) and commissural associational input (see Intrinsic connections: Excitatory polymorphic cells), and a basal dendritic arbor, usually descending into the hilus and receiving input from granule cell axons (see Intrinsic connections: Granule cells). Basket cells with somata in the ML are located furthest from the hilus and possess only one or two dendrites penetrating the GL.","p249, left middle",8589792,0,data,NULL,synpro_figure,1000,1035,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30009,1000480,"[Dentate gyrus granule neuron] MFs [mossy fibers] form two major types of synapse in the stratum lucidum of the CA3, and these two types display a high degree of target selectivity and functional specialization. Namely, the unusually large (3-6 microm; so-called giant) MF terminals innervate primarily pyramidal cells, whereas small filopodia emanating from the giant terminals and small en passant boutons contact GABAergic cells (Acsady et al., 1998).","p4239, left lower",19339618,0,data,NULL,synpro_figure,1000,2000,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
30010,1000486,"Figure 2. MFs [mossy fibers] are monosynaptically connected to FSBCs [fast-spiking basket cells] in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, and immunoreactivities of a representative FSBC that received monosynaptic MF inputs. Circle graph indicates the relative proportion of the FSBCs (shaded black in the circle graph) that received monosynaptic inputs from MFs of the 14 MF-FSBC pairs (BIO, biocytin; ori, stratum oriens; pyr, stratum pyramidale; luc, stratum lucidum) (calibration for the firing pattern: 20 mV, 200 ms). ? C, An example FSBC in the CA3 that received MF-EPSC and had significant axonal innervations of the DG granule cell layer (black, axon; gray, dendrite).","p4242, Figure 2A,C",19339618,0,data,NULL,synpro_figure,1000,2043,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
