"","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","","","","","","","","",""
"Biomarkers with inferential data","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biomarker category","","","","","","","","","","","","","","","","CA2+ binding proteins","CA2+ binding proteins","CA2+ binding proteins","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Transporters/Channels","Transporters/Channels","Transporters/Channels","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Neuropeptides","Enzymes","Enzymes","Enzymes","Matrix proteins","Matrix proteins","Transcription factors","Transcription factors","Neuropeptides","Transporters/Channels","Transporters/Channels","Receptors","Receptors","Neuropeptides","Transporters/Channels","Miscellaneous","Transporters/Channels","Receptors","Transporters/Channels","Miscellaneous","Receptors","Neuropeptides","Miscellaneous","Receptors","Receptors","Receptors","CA2+ binding proteins","Receptors","Miscellaneous","Miscellaneous","Neuropeptides","Miscellaneous","Neuropeptides","Miscellaneous","Miscellaneous","Neuropeptides","Miscellaneous","Miscellaneous","Miscellaneous","Receptors","Miscellaneous","CA2+ binding proteins","Receptors","Receptors","Neuropeptides","Receptors","Miscellaneous","Transporters/Channels","Receptors","Receptors","Receptors","Miscellaneous","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Receptors","Miscellaneous","Miscellaneous","Receptors","Receptors","Receptors","Receptors","Transporters/Channels","Receptors","","","","","","","","",""
"Hippocampome","","v 1.0\alpha","","","Type_id","","","","","","","","","","","1","2","3","7","4","8","9","5","6","96","97","64","45","80","66","37","27","10","61","31","11","12","16","13","14","15","34","28","95","19","21","98","17","20","18","62","22","23","24","25","26","29","30","32","33","35","36","38","39","40","41","42","43","44","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","63","65","67","68","69","70","71","72","73","74","75","76","77","78","79","81","82","83","84","85","86","87","88","89","90","91","92","93","94","","","","","","","","",""
"","","","","","","","","","","","","","","","","calbindin","calretinin","parvalbumin","serotonin receptor 3","cannabinoid receptor type 1","GABA-a alpha 1 subunit","metabotropic glutamate receptor 1 alpha","muscarinic type 2 rec","substance P rec, neurokinin receptor-1","adrenergic beta 1 receptor","adrenergic beta 2 receptor","acetylcholine receptor alpha 2 subunit","Receptor tyrosine-protein kinase erbB-4","GABA-a alpha 6 subunit ","metabotropic glutamate receptor 1 ","metabotrobic glutamate receptor 5","mu-opioid receptor","vesicular glutamate transporter 2","vesicular GABA transporter; vesicular inhibitory amino acid transporter (viaat)","vesicular glutamate transporter 2","cholecystokinin","enkephalin","neurogranin","neuropeptide Y","somatostatin","vasoactive intestinal polypeptide","calcitonin gene related peptide","neurokinin B, tachykinin-3, preprotachykinin B (PPTB)"," preproenkephalin","neuronal nitric oxide synthase","choline acetyltransferase","tyrosine hydroxylase","alpha actinin 2","reelin","chicken ovalbumin upstream promoter transcription factor II; ARP-1","special AT-rich sequence-binding protein-1","dynorphin","excitatory amino acid transporter 3","glycine transporter 2","metabotropic glutamate receptor 7a","metabotropic glutamate receptor 8a","preprotakininA; substance P","vesicular acetylcholine transporter","acetylcholinesterase","GABA transporter-1","metabotrobic glutamate receptor 2/3","potassium voltage-gated channel 3.1","prospero homeobox protein 1","GABA-a delta subunit","visinin-like protein 1","connexin-36","muscarinic type 1 rec","muscarinic type 3 rec","muscarinic type 4 rec","calmodulin","neuropeptide Y receptor 1","mannosidase 1, alpha","Bcl-2-related ovarian killer protein","Purkinje cell protein 4","amphoterin-induced gene and ORF (open reading frame) 2","substance P"," disrupted in schizophrenia 1","polysialylated neural cell adhesion molecule","brain-derived neurotrophic factor","phosphorylated cyclic AMP response element binding protein"," POU domain transcription factor SCIP","Neuronal Differentiation 6","Neuropilin-2","inhibitor of DNA binding 2","neuronal calcium-binding protein 1 ","neuropeptide Y receptor 2","AMPA receptor 2/3; GluR2/3 (AMPAR 2/3); GluA2/3","corticotropin-releasing factor","GABA B receptor 1","calcineurin","vesicular glutamate transporter 1","metabotrobic glutamate receptor 2","metabotrobic glutamate receptor 3","metabotrobic glutamate receptor 4","synaptoporin","GABA-a alpha 2 subunit ","GABA-a alpha 3 subunit ","GABA-a alpha 4 subunit ","GABA-a alpha 5 subunit ","GABA-a beta 1 subunit","GABA-a beta 2 subunit","GABA-a beta 3 subunit","GABA-a gamma 1 subunit","GABA-a gamma 2 subunit","metabotrobic glutamate receptor 5a","special AT-rich sequence-binding protein-2","COUP-TF interacting protein 2","AMPA receptor 2","AMPA receptor 1","AMPA receptor 3","AMPA receptor 4","GABA transporter-3","C-X-C chemokine receptor type 4","note #","note","100 types for paper","Inferential Evidence","Types with at least one biomarker","Total pos or neg biomarker","inhibitory with three or more biomarkers","inhibitory with five or more biomarkers","inhibitory with eight or more biomarkers"
"","","","","","","","","","","","","","","","","CB ","CR","PV","5HT-3","CB1","GABAa \alpha1","mGluR1a","Mus2R","sub P rec","AR-beta1","AR-beta2","Chrna2","ErbB4","GABAa\alpha 6","mGluR1","mGluR5","MOR","vGluT3","vGAT","vGluT2","CCK","ENK","NG","NPY","SOM","VIP","CGRP","NKB","PPE","nNOS","ChAT","TH","a-act2","RLN","CoupTF II","SATB1","DYN","EAAT3","GlyT2","mGluR7a","mGluR8a","PPTA","vAChT","AChE","GAT-1","mGluR2/3","Kv3.1","Prox1","GABAa \delta","VILIP","Cx36","Mus1R","Mus3R","Mus4R","CaM","Y1","Man1a","Bok","PCP4","AMIGO2","Sub P","Disc1","PSA-NCAM","BDNF","p-CREB","SCIP","Math-2","Neuropilin2","Id-2","NECAB1","Y2","GluA2/3","CRF","GABA-B1","Caln","vGlut1","mGluR2","mGluR3","mGluR4","SPO","GABAa\alpha 2","GABAa\alpha 3","GABAa\alpha 4","GABAa\alpha 5","GABAa\beta 1","GABAa\beta 2","GABAa\beta 3","GABAa\gamma 1","GABAa\gamma 2","mGluR5a","SATB2","Ctip2","GluA2","GluA1","GluA3","GluA4","GAT-3","CXCR4","1",""First digit--presence of marker:  0-unknown, 1-positive, 2-negative, 3-weak positive, 4-signal in some but not all cells of this type, 5-conflicting data"","","","","","","",""
"","Active (N) or Suspended (X)","Cell ID","Subregion","Hippocampome 1.7 neuron class","Hippocampome 0.8 Cell ID","Hippocampome 0.8 neuron class","Excit(+)/Inhib(-)","Ax-Dend pattern","Projecting","Hippocampome class abbreviation","NIF Neuron Class","Pseudonym neuron class","Pseudonym neuron class","Synapses","Soma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""Second digit--detection method:  0-immunocytochemistry, 1-mRNA, 2-both"","","","","","","",""
"1","N","N101","DG","granule","1-000","Granule ","(+)","2201","p","granule","Dentate gyrus granule neuron","","","E","granule layer","{p}""101.160234; 101.160276; 101.160286;101.160878; 101.160884; 101.160886; 101.160892; 101.160958; 101.160982; 101.160984; 101.160986; 101.161010; 101.161052; 101.160818; 100.161164; 101.160633; 101.161188; 101.161758; 101.161818; 101.161280; 101.161282; 100.161718; 100.161720; 101.162002""","{cn}""201.160234; 200.161710; 200.161764; 200.161724; 201.160990; 201.162088; 200.162106; 200.162164; 901.162155<""*Glutamatergic and GABAergic CB+ types in DG Smi_Smo_SG_H are probably CR-*"">; 901.162155<""*Glutamatergic and GABAergic CB+ types in DG Smi_Smo_SG_H are probably CR- by contrapositive logic*"">""","{n}""201.161016; 200.161164; 201.161222; 201.161742; 201.161754; 201.161756; 200.161860; 200.161868; 201.160958; 201.160988; 200.161784; 200.162105""","{n}""210.161206; 210.161212; 210.161214; 211.161796""","{n}""201.161140; 201.161142; 201.161144; 201.161156; 201.161694; 201.161696; 211.161796; 200.162075; 200.162102; 210.162103; 200.162104; 200.162111""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""201.162025; 110.162068; 400.162069<""*expressed in dendrites*"">; 201.162086; 201.162089; 111.162095""","{cn}""201.161128; 200.162112; 201.162131; 201.162132; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","{n}""201.161258; 201.161259; 201.162115""","{n}""201.161260; 201.161266; 201.161896; 201.161261; 201.162143""","{n}""210.190010""","","","{n}""200.161782; 200.161786; 200.161784""","{cn}""220.162066; 210.162068; 200.162069; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","{p}""111.162043; 111.162044""","{p}""111.162044; 111.162048""","","{3<""*In rats the mRNA has been detected, but not the protein.  No information on the mouse is on Hippocampome.org currently.*"">}""201.161884; 201.161896; 201.161902; 201.161904; 111.161924; 111.161926; 201.161928; 201.161930""","{n}""201.161882; 201.161884; 211.162022; 211.162023""","{n}""211.160795; 201.161882; 201.161884""","{3<""*The protein has been detected in mice, but not in rats.*"">}""100.160786<""*expressed in axons*"">; 201.160786; 201.160818; 100.160818; 100.161776<""*expressed in axons*"">; 100.161782<""*expressed in axons*"">; 200.161782; 201.161884; 211.162013; 211.162014;  100.162063<""*expressed in axons*"">; 201.162083; 201.162085; 200.162107; 201.162122; 201.162124; 201.162134; 201.162135""","{4<""*Protein has been detected primarily in axons.*"">}""401.160784<""*expressed in axons*"">; 101.160818<""*expressed in axons*"">; 210.161760; 101.162017; 401.162051<""*expressed in axons*"">; 401.162052<""*expressed in axons*"">; 201.162053; 101.162057<""*expressed in axons*"">; 101.162100<""*expressed in axons*"">; 101.162101<""*expressed in axons*"">; 401.162177<""*expressed in axons*"">; 111.162180""","{p}""100.161828; 100.161830; 101.162033; 111.162049; 110.162081; 120.162138; 100.162139; 100.162140; 121.162141; 101.162142""","{cn}""200.160604; 101.160654; 101.160784; 201.161704; 201.161736; 211.161746; 210.161762; 201.162060; 201.162082; 200.162108; 900.161888<""*Glutamatergic and GABAergic CB+ types in DG Smo_Smi_SG are probably NPY- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 69.2% (n = 10/10)*"">""","{cn}""201.160220; 201.160300[rule]; 200.160600; 201.160234; 202.160588[rule]; 201.161704; 200.161786; 201.161808; 201.161812; 201.161814; 201.161813; 200.161164; 200.160106; 200.161990; 200.161992; 200.162109; 201.162122; 201.162134; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 900.160600<""*Glutamatergic and GABAergic types in DG SG are negative for SOM*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">; 900.161888<""*Glutamatergic and GABAergic CB+ types in DG Smo_Smi_SG are probably SOM- by contrapositive logic; (n = 4/4)*"">""","{n}""201.162072; 201.162084; 200.162110; 201.162122; 201.162134; 201.162136""","{n}""201.161078; 200.161848; 200.161854; 200.161860; 203.161864; 201.162006""","{p}""101.160784""","","{cn}""200.161716; 200.161714; 200.16178; 201.161754; 300.160106; 200.161990; 200.161992; 901.162076<""*Glutamatergic types in DG Smi_Smo_SG_H are negative for nNos*"">""","","{n}""210.190010""","{p}""101.161138; 101.161131; 101.161133""","{n}""210.161706; 200.161716; 200.161714; 211.161746; 210.162030; 200.162073; 200.162074; 200.162098""","{n}""201.161768""","","{p}""101.161058<""*expressed in axons*"">; 101.160784<""*expressed in axons*"">; 101.160818<""*expressed in axons*"">; 101.162042<""*expressed in axons*"">; 101.162056<""*expressed in axons*"">; 101.162100<""*expressed in axons*"">; 101.162101<""*expressed in axons*"">; 101.162178; 101.162179; 111.162180""","","{n}""210.190010""","","","{n}""211.162013; 211.162015""","{n}""210.190010""","","{n}""201.162125; 201.162126""","{p}""111.162044; 111.162045; 111.162046""","","{p}""101.160633; 111.161744; 101.161966""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{p}""101.161182; 101.161186""","","{p}""101.161248; 101.161258; 101.162114; 101.162118""","{p}""101.162116; 101.162119""","{n}""201.161256; 201.162117; 201.162121""","{p}""100.161828; 100.161830""","{p}""111.161838; 111.161840""","{n}""210.162010""","{n}""210.161842; 210.162010""","{p}""110.161842; 110.161874; 110.162010""","{n}""210.161874""","","{p}""100.161718; 100.161720; 100.161722; 100.161724; 100.161726""","{p}""101.161728""","{p}""101.161730; 101.162061""","{p}""101.161732; 101.161734; 101.161740""","{n}""211.161744""","{n}""211.161744""","{p}""111.161744""","","","","{p}""100.161996""","","{p}""110.190010""","{p}""100.162012""","{p}""111.162021; 111.162024; 110.162103""","{p}""111.162044; 111.162045""","{p}""111.162044; 111.162046""","","{4<""*Protein has been detected in axons, but not soma.*"">}""100.162064<""*expressed in axons*"">; 400.162065<""*expressed in axons*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068;  400.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{p}""110.162068""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 200.162069; 100.162069<""*expressed in dendrites*"">""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 200.162069; 100.162069<""*expressed in dendrites*"">""","{n}""210.162068; 200.162069""","{4<""*Protein has been detected in dendrites, but not soma.*"">}""110.162068; 400.162069<""*expressed in dendrites*"">; 111.162094; 111.162095""","{4<""*Protein has been detected in dendrites, but not soma.*"">}"" 401.162131<""*expressed in dendrites*"">; 401.162133<""*expressed in dendrites*"">""","","","","{p}""110.190010""","{p}""110.190010""","","{n}""201.162128""","","3","""Third digit--species:  0-mouse, 1-rat, 2-both""","1","1","1","66","","",""
"2","N","N102","DG","semilunar granule","1-001","Semilunar Granule","(+)","2311","p","SGC","Dentate gyrus semilunar granule cell","","","E","inner molecular layer","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{cni}""000.000000; 200.160108[rule]; 201.160234[rule]; 202.160588[rule]; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 901.160234<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.160588<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 900.161162<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.162168<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","","""000.000000""","","{ni}""000.000000; 901.162076<""*Glutamatergic types in DG Smi_Smo_SG_H are negative for nNos*"">""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","""However, we also found a subpopulation of neurons (27.5% of IML cells) whose morphology and intrinsic physiology did not resemble fastspiking interneurons. [dentate gyrus semilunar granule cells]""","1","1","1","3","","",""
"","N","N103","DG","(new)","1-043","Mossy MOLDEN","(+)","2323","","quad MC","Dentate gyrus mossy cell","","","E","","""000.000000""","""000.000000""","{ni}""000.000000; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">""","""000.000000""","""000.000000""","{ni}""000.000000; 901.162169<""*Glutamatergic and GABAergic SOM- types in DG H are probably GABAa \alpha1- by contrapositive logic*"">""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","","""000.000000""","","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{cni}""000.000000; 901.162000<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.160374<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","{3<""*Protein has been detected in rats, but not in mice.*"">}""200.161854; 200.161865; 101.161865""","","","{cni}""000.000000; 901.162076<""*Glutamatergic types in DG Smi_Smo_SG_H are negative for nNos*"">; 901.162000<""*Glutamatergic and GABAergic SOM- types in DG H are probably nNos- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 79.3% (n = 772/942)*"">""","","","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Curly brace codes {p}--positive, {n}--negative, {1}--mixed data: subtypes, {2}--mixed data: unresolved, {3}--mixed data: species/protocol, {4}--mixed data: subcellular localization","","1","1","3","","",""
"","N","N106","DG","","1-041","Hilar Ectopic Granule","(+)","2203","p","HEGC","Dentate gyrus (+)2203p hilar ectopic granule cells","","","E","","""000.000000""","""000.000000""","{ni}""000.000000; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">""","""000.000000""","""000.000000""","{ni}""000.000000; 901.162169<""*Glutamatergic and GABAergic SOM- types in DG H are probably GABAa \alpha1- by contrapositive logic*"">""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","","""000.000000""","","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{cni}""000.000000; 901.162000<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.160374<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","","","","{cni}""000.000000; 901.162076<""*Glutamatergic types in DG Smi_Smo_SG_H are negative for nNos*"">; 901.162000<""*Glutamatergic and GABAergic SOM- types in DG H are probably nNos- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 79.3% (n = 772/942)*"">""","","","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","","",""
